question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What are the Restraints of the Alar Ligaments?,(Occipital-C1-C2 Ligamentous Complex)   Limit Rotation of the Upper Cervical Spine,Transverse ligament - Limits Anterior Translation of the Atlas Apical Ligaments - Limit Rotation of the Upper Cervical Spine Alar Ligaments - Limit Rotation of the Upper Cervical Spine,spine,cervical spine,,,,spine,upper cervical spine,upper cervical spine,,
"What is the Name of the Long, Prominent Spinous Process found at C7?",Vertebral Prominens,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Orientation of the Facet (Zygapophyseal) Joints in the Cervical Spine (C3-7)?,0° Coronal 45° Sagittal (Angled Supero-Medially),"Function: Allows Flexion-Extension, Lateral Flexion, Rotation",spine,cervical spine,,,,spine,cervical spine,,,
What is the Orientation of the Facet (Zygapophyseal) Joints in the Lumbar Spine?,50° Coronal 90° Sagittal (Facets in Sagittal Plane),"Function: Allows Flexion-Extension, Minimal Rotation Helps Increase Abdominal Pressure",spine,lumbar spine,,,,spine,lumbar spine,,,
What is the Function of the Facet (Zygapophyseal) Joints in the Lumbar Spine?,"Allows Flexion-Extension, Minimal Rotation Helps Increase Abdominal Pressure",50° Coronal 90° Sagittal (Facets in Sagittal Plane),spine,lumbar spine,,,,spine,lumbar spine,,,
What is the Orientation of the Facet (Zygapophyseal) Joints in the Thoracic Spine?,20° Coronal 55° Sagittal (Facets in Coronal Plane) 6 degrees of Freedom,"Allows some Rotation, Minimal Flexion-Extension (also Limited by Ribs)   Prevents Downward Flexion on Heart and Lungs",spine,thoracic spine,,,,spine,thoracic spine,,,
What is the Function of the Facet (Zygapophyseal) Joints in the Thoracic Spine?,"Allows some Rotation, Minimal Flexion-Extension (also Limited by Ribs)   Prevents Downward Flexion on Heart and Lungs",20° Coronal 55° Sagittal (Facets in Coronal Plane) 6 degrees of Freedom,spine,thoracic spine,,,,spine,thoracic spine,,,
What is the Function of the Facet (Zygapophyseal) Joints in the Cervical Spine (C3-7)?,"Allows Flexion-Extension, Lateral Flexion, Rotation",0° Coronal 45° Sagittal (Angled Supero-Medially),spine,cervical spine,,,,spine,cervical spine,,,
What are the Surgical Approaches for Thoracic Disc Herniation?,Laminectomy/Hemilaminectomy Transpedicular Costotransversectomy Lateral Extracavitary Anterior Intracavitary (Thoracotomy / VATS),,spine,thoracic spine,,,,spine,thoracic spine,,,
What is Responsible for MOST of the Normal Lumbar Lordosis?,Disc Spaces,,spine,lumbar spine,,,,spine,lumbar spine,,,
What is the Pars Interarticularis of Vertebral Bodies?,Mass of Bone between Superior and Inferior Articular Facets,Site of Spondylolysis,spine,lumbar spine,,,,spine,lumbar spine,,spondylolysis,
What are Facet Joints (Zygapophyseal Joints) formed by?,Superior and Inferior Articular Processes that Project from Junction of Pedicle and Lamina,Facets become more Coronal as you move Inferior,spine,spine,,,,spine,spine,,,
What is the Landmark used to identify the Midpoint of Lumbar Pedicles in the Superior-Inferior Dimension?,Midpoint of the Transverse Process,,spine,lumbar spine,,,,spine,lumbar region,lumbar region,,
What is the Landmark used to identify the Midpoint of Lumbar Pedicles in the Medial-Lateral Dimension?,Lateral Border of Pars,,spine,lumbar spine,,,,spine,lumbar spine,,,
What is the Average Diameter of the S1 Pedicle?,~19 mm,,spine,lumbar spine,,,,spine,lumbar spine,,,
What is the Blood Supply of Lumbar Vertebral Bodies?,Segmental Arteries,Dorsal Branches supply blood to the Dura & Posterior Elements,spine,lumbar spine,,,,spine,lumbar spine,,,
What Nerve is Responsible for Nociception and Proprioception of Intervertebral Discs?,Sinu-Vertebral Nerves,Nerve Fibers present along Periphery of Annulus Fibrosus only,spine,spine,,,,spine,spinal nerves,spinal nerves,,
What are the 5 Components of Intervertebral Discs that DECREASE with Aging?,Nutritional Transport Water Content Absolute Number of Viable Cells Proteoglycans pH,Disc Aging leads to an Overall LOSS of Water Content and Conversion to Fibrocartilage,spine,spine,,,,spine,spine,,,
"Cells of the Intervertebral Discs are Biologically Responsive and Increase their Production of MMPs, NO, IL-6, and PGE2 when Stimulated by what Molecule?",IL-1B,,spine,spine,,,,spine,spine,,,
What is the Collagen:Proteoglycan Ratio of the Nucleus Pulposus?,LOW Collagen / HIGH Proteoglycan Ratio (high % dry weight of proteoglycans),~88% Water,spine,spine,,,,spine,intervertebral disc,intervertebral disc,,
What is the Proteoglycan Primarily responsible for Maintaining Water Content of the Intervertebral Disc?,Aggrecan,,spine,spine,,,,spine,intervertebral disc,intervertebral disc,,
What are the 4 Components of Intervertebral Discs that INCREASE with Aging?,Keratin Sulfate to Chondroitin Sulfate ratio Lactate Degradative Enzyme activity  Density of Fibroblast-like Cells,Fibroblast-like Cells reside in the Annulus Fibrosus ONLY,spine,lumbar spine,,,,spine,lumbar spine,,,
What are the Components of the Posterior Ligamentous Complex of the Spine?,Supraspinous Ligament  Interspinous Ligament  Ligamentum Flavum  Facet Capsule,,spine,spine,,,,spine,spine,,,
What Trajectory is preferred for Placement of C1 Lateral Mass Screws?,10 degrees Medial::Medial or Lateral? and 22 degrees Cephalad::Cephalad or Caudad?,,spine,spine,,,,spine,c1 lateral mass,c1 lateral mass,,scr
What Area of the Vertebral Column has the Highest Ratio of Cortical to Cancellous bone?,Pedicles of the Thoracic Spine,,spine,thoracic spine,,,,spine,thoracic spine,,,
"By what Mechanism do Morphogenic factors such as BMP-2, BMP-7, and TGF-beta play a role in Reversing the Process of Intervertebral Disc Degeneration?",Increase the Chondrogenic Phenotype of Disk Cells and Increase Matrix Synthesis,,spine,spine,,,,spine,intervertebral disc,intervertebral disc,,
How is Discogenic Back Pain Defined?,Axial Low Back Pain WITHOUT Radicular Symptoms,"Classic symptoms include Pain with Bending, Sitting, or Axial Loading WITHOUT Neurologic symptoms. Different from Disc Herniation, Discogenic pain involves degenerative changes of the intervertebral disc (DDD), including structural defects that result in biomechanical instability and inflammation.",spine,lumbar spine,,,,spine,lumbar spine,,,
Injury to What Nerve(s) can cause Delayed Abdominal Paresis mimicking an Abdominal Hernia following a Lateral Trans-Psoas Approach to the Lumbar Spine?,Ilioinguinal and Iliohypogastric nerves,"Risk factors include Multilevel surgery, Prolonged Retractor time, Excessive Breaking of the Bed, and Failure to Flex the Hips",spine,lumbar spine,,,,spine,lumbar spine,,,
What are the Forces that lead to Facet Dislocations?,Flexion and Distraction Forces +/- an element of Rotation,Rotational Moment associated with Unilateral Facet Dislocation,spine,cervical spine,,,,spine,cervical spine,,,
"As you move Cranial to Caudal in the Lumbar Spine, the Safe Approach Zone for the Lateral Transpsoas approach DECREASES::Increases or Decreases?",due to the more Ventral Position of the Lumbar Plexus.,L4-L5 most high risk for lumbar plexus injury,spine,lumbar spine,,,,spine,lumbar spine,,,
"A patient sustained a Sharp Laceration to the Base of his Left, Nondominant Thumb 4 MONTHS ago.  Examination reveals NO Active Flexion but FULL Passive Motion of the Interphalangeal Joint.  What is the best Treatment option?",Flexor Digitorum Superficialis Transfer,,hand,hand,,,,hand,thumb,thumb,,
The Neurocentral Synchondrosis (NCS) develops between which 2 Spinal Elements and Closes in which Order?,"Centrum & Posterior Neural Arches; Cervical, Lumbar, Thoracic",Cartilaginous Plate that forms between the Centrum and Posterior Neural Arches    Closure occurs in Characteristic Order: - Cervical NCS by 5-6 years old  - Lumbar NCS by 11-12 years old  - Thoracic NCS by 14-17 years old,spine,cervical spine,,,,spine,vertebrae,vertebrae,,
What are the Common Symptoms of Flexion Instability following TKA?,Recurrent Effusions since the Time of Surgery (most commonly Bloody) Difficulty Negotiating stairs Sense of Instability WITHOUT Giving Way Diffuse Pain,"Revision surgery should consist of Decreasing the Flexion Space, which can be achieved by Upsizing the Femoral Component.",recon,knee,,,,recon,knee,,,
What Percent of patients Die within MINUTES of sustaining Trauma (1st Peak)?,What is the Cause?  50%; Massive Blood Loss or Neurologic Injury,,trauma,global,,,,trauma,thorax,thorax,,
"In Trauma, what Percent of patients Die within within Hours of Arrival to Hospital (2nd peak)?","What is the Cause?  30%; Shock, Hypoxia, or Neurologic Injury",,trauma,global,,,,trauma,thorax,thorax,,
What Percent of patients Die within Days to Weeks Following Trauma (3rd Peak)?,What is the Cause?  20%; Multi-System Organ Failure and Infection,,trauma,global,,,,trauma,whole body,whole body,,
"""What is the Definition of the """"Golden Hour""""?","Period of Time when Life-Threating and Limb-Threatening injuries should be Treated in order to Decrease Mortality""",,trauma,global,,,,trauma,trauma injuries,trauma injuries,,
What Percent of Preventable Deaths occur during the Golden Hour?,60%,Period of Time when Life-Threating and Limb-Threatening injuries should be Treated in order to Decrease Mortality,trauma,global,,,,trauma,trauma injuries,trauma injuries,,
What 4 Factors does use of an Airbag DECREASE the Rate of during Head-On Collision?,Closed Head Injuries Facial Fractures Thoracoabdominal injuries Need for Extraction,,trauma,global,,,,trauma,head and face injuries,head and face injuries,,
What is the Incidence of Depression after Traumatic Event involving Orthopedic injuries?,33%,,trauma,global,,,,trauma,mental health,mental health,,
What is the Incidence of PTSD after Traumatic Event involving Orthopedic injuries?,50%,Females 4x more likely to develop,trauma,global,,,,trauma,mental health,mental health,,
What is the Average Volume of Circulating Blood of an Adult Male (70 kg)?,4.7 - 5 L,,trauma,global,,,,trauma,cardiovascular system,cardiovascular system,,
What is the Average Volume (mL/kg) of Circulating Blood of a Child?,75 - 80 mL/kg,,peds,global,,,,peds,cardiovascular system,cardiovascular system,,
"In the Trauma Setting, what Urine Output indicates Adequate Resuscitation?",0.5-1.0 mL/kg/hr (30 cc/hr),,trauma,global,,,,trauma,renal system,renal system,,
What is a Normal Serum Lactate level?,"< 2.5 mmol/L, < 45 mg/dL",,trauma,global,,,,trauma,blood,blood,,
What does an Elevated Serum Lactate indicate?,Most SENSITIVE Indicator as to whether some Circulatory Beds remain Inadequately Perfused,Acidosis do to ketoacidosis and anaerobic respiration other pathways due to lack of oxygen perfusion.,trauma,global,,,,trauma,circulatory system,circulatory system,,
What is a Normal Base Deficit Range?,-2 to +2,Base Excess is the amount of base required to neutralize a metabolic acidosis,trauma,global,,,,trauma,blood ph,blood ph,,
What is the Risk of Hepatitis B (HBV) after Blood Transfusion?,"1 in 205,000 Donations",,trauma,global,,,,trauma,blood stream,blood stream,,
What is the Risk of Hepatitis C (HCV) after Blood Transfusion?,1 in 1.8 Million Donations,,trauma,global,,,,trauma,blood stream,blood stream,,
What is the Risk of HIV after Blood Transfusion?,1 in 1.9 Million Donations,,onc,global,,,,onc,blood stream,blood stream,,
"When Differentiating Septic versus Hypovolemic Shock, which has a DECREASED SVR?",Septic Shock,,trauma,global,,,,trauma,cardiovascular system,cardiovascular system,,
"In EAC, what is the Goal for Timing of Spine, Pelvis, Femur, and Acetabulum Fractures?",36 Hours,Early appropriate care  = EAC,trauma,pelvis,,,,trauma,pelvis,,,
What is the Ideal Treatment for a Hypertrophic Nonunion of a Tibial Shaft Fracture?,Reamed Exchange Nailing,Hypertrophic Nonunion:,trauma,leg,tibial shaft,,,trauma,tibial shaft,tibial shaft,,
What are 4 Risk Factors of victims of Elder Abuse?,Increasing Age Functional Disability Child Abuse within the Regional Population Cognitive Impairment,Gender is NOT a risk factor,peds,global,,,,peds,elderly population,elderly population,,
What are 3 Caretaker Risk Factors for Elder Abuse?,Financial Dependence on the Elder person  Substance Abuse  Perceiving the Caretaking Duty as Burdensome,,hand,hand,,,,hand,psychological factors,psychological factors,,
What are 3 common Injuries/Findings that Raise Suspicion for Elder Abuse?,"Long Bone Fractures Rib Fractures Bruises caused from Abuse are commonly Over 5 cm in Size; Located on the Face, Neck or Back::3",,trauma,hip,,,,trauma,thorax,thorax,,
What are 6 Risk Factors for being a Victim of Domestic Violence?,Female 19-29 years old Pregnant Short-term Relationship Cohabitation Low income Families/Low Socioeconomic Status,,hand,hip,,,,hand,general population,general population,,
In what Patient Population does Sternoclavicular Septic Arthritis occur in?,IV Drug Users,"Staph aureus still most common pathogen isolated, even in IVDU",trauma,shoulder,,,,trauma,shoulder,,septic arthritis,
What Age Range is a Risk Factor for Septic Arthritis (Adults)?,Age > 80 years,,recon,global,,,,recon,geriatric,geriatric,septic arthritis,
What 4 Medical Conditions are Risk Factors for Septic Arthritis?,Diabetes Rheumatoid Arthritis Cirrhosis HIV,,hand,hand,,,,hand,joints,joints,septic arthritis,
What are 3 Etiologies of Bacterial Seeding of the Joint in Septic Arthritis?,Bacteremia Direct Inoculation - from Trauma or Surgery  Contiguous Spread - from Adjacent Osteomyelitis,,trauma,global,,,,trauma,joint,joint,septic arthritis,
Within how many Hours can IRREVERSIBLE Cartilage Damage occur in Septic Arthritis?,8 Hours,Caused by release of Proteolytic Enzymes from Inflammatory cells (PMNs),peds,knee,,,,peds,knee,,septic arthritis,
Gonococcal Arthritis can have what 2 Presentations?,Arthritis-Dermatitis Syndrome in ~60% of cases Localized Septic Arthritis in ~40% cases,,peds,knee,,,,peds,knee,,septic arthritis,
What are 4 Risk Factors for Gram-Negative Bacillus Septic Arthritis?,Neonates IV drug users Elderly Immunocompromised patients with Diabetes,"account for 10-20% of cases   Pathogens include: E coli, Proteus Klebsiella  Enterobacter",trauma,knee,,,,trauma,knee,,septic arthritis,
What Patient Population is associated with Batonella Henselae Septic Arthritis?,HIV,,peds,knee,,,,peds,knee,,septic arthritis,
What are 3 Exam Findings on Inspection of Septic Arthritis?,Erythema  Effusion Extremity tends to be in Position of Maximum Joint Volume,,,global,,,,pediatrics (peds),joint,joint,septic arthritis,
How LONG can it take Before ESR Rises After Infection?,"Within 2 days of Infection and can Rise 3-5 days AFTER Initiation of appropriate Antibiotics, and Returns to Normal in 3-4 weeks",,,global,,,,infection,blood (esr),blood (esr),,
What is the Most Helpful Lab Value in Diagnosing and Evaluating Septic Arthritis Treatment?,CRP > 5,"Best way to judge efficacy of treatment, as CRP rises within few hours of infection, and may normalize within 1 week of treatment",peds,global,,,,pediatrics,joints,joints,septic arthritis,
How Often does Gram Stain identify a Pathogen in Septic Arthritis?,1/3 of time,,peds,knee,,,,peds,knee,,septic arthritis,
"""What is the Negative """"String"""" Sign in Septic Arthritis?","Septic Synovial Fluid has LOW Viscosity compared to Normal Synovial Fluid (HIGH Viscosity)""",,peds,global,,,,peds,joint,joint,septic arthritis,
What is the Amount of Intra-Articular Saline needed to Rule OUT a 95% chance of Traumatic Arthrotomy in the Knee?,155 mL,,trauma,knee,,,,trauma,knee,,,
What is the Amount of Intra-Articular Saline needed to Rule OUT a 99% chance of Traumatic Arthrotomy in the Knee?,175 mL,,trauma,knee,,,,trauma,knee,,,
What are 4 Medical Conditions/Host Factors that are Risk Factors for Necrotizing Fasciitis?,Diabetes AIDS Cancer Obesity,,hand,hip,,,,hand,generalized,generalized,,
What is a Common Overlying Skin Condition seen with Necrotizing Fasciitis?,Cellulitis,May or May NOT be present,trauma,global,,,,trauma,skin,skin,,
What Organism is involved in Type IV Necrotizing Fasciitis?,MRSA,,trauma,global,,,,trauma,skin,skin,,
What Bacteria is Most Commonly Isolated in Type I Necrotizing Fasciitis?,POLYMICROBIAL  Non-Group A Strep Anaerobes including Clostridia Facultative Anaerobes Enterobacteria,Most common (80-90%)   Seen in Immunosuppressed (Diabetics and Cancer patients)   Postop Abdominal and Perineal infections,trauma,global,,,,trauma,soft tissue,soft tissue,,
What Bacteria is Most Commonly Isolated in Type II (Monomicrobial) Necrotizing Fasciitis?,Group A β-Hemolytic Strep,5% of cases Seen in healthy patients Extremities,hand,hand,,,,hand,soft tissue,soft tissue,,
What are the Early symptoms of Necrotizing Fasciitis?,Localized Abscess or Cellulitis with Rapid Progression Minimal Swelling NO Trauma or Discoloration,,hand,global,lower extremity,,,hand,lower extremity,lower extremity,,
What are the LATE symptoms of Necrotizing Fasciitis?,"Severe Pain High Fever, Chills, and Rigors Tachycardia",,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,
What are 5 Physical Exam Findings of Necrotizing Fasciitis?,"Skin Bullae  Discoloration Swelling, Edema Dermal Induration and Erythema Subcutaneous Emphysema (Gas producing organisms)",,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,
What is the Role of Biopsy for Diagnosing Necrotizing Fasciitis?,Emergent Frozen Section can CONFIRM Diagnosis in EARLY cases,,onc,global,,,,onc,soft tissue,soft tissue,,
How much Tissue is required for Biopsy of Necrotizing Fasciitis?,1x1x1cm tissue sample,Can be performed at Bedside or in Operating Room,onc,global,lower extremity,,,onc,lower extremity,lower extremity,,
What are 4 Histological Findings seen on Biopsy of Necrotizing Fasciitis?,Necrosis of fascial layer Microorganisms within Fascial Layer  PMN infiltration Fibrinous thrombi in Arteries and Veins and Necrosis of Arterial and Venous walls,,trauma,global,,,,trauma,fascial layer,fascial layer,,
What is the Treatment of Choice for Necrotizing Fasciitis?,Emergency Radical Debridement with Broad-Spectrum IV Antibiotics,Whenever SUSPICION for necrotizing fasciitis,trauma,global,,,,trauma,soft tissue,soft tissue,,debridement
What are 4 Common Operative Findings during Debridement of Necrotizing Fasciitis?,Liquefied Subcutaneous Fat  Dishwater Pus  Muscle Necrosis Venous Thrombosis,,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,debridement
What is the Indication for Hyperbaric Oxygen treatment of Necrotizing Fasciitis?,If Anaerobic Organisms Identified,,trauma,global,,,,trauma,soft tissue,soft tissue,,
What are the 4 Initial Empiric Antibiotics given for Necrotizing Fasciitis?,Penicillin Clindamycin Metronidazole Aminoglycoside,,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,
What are the Definitive Antibiotics given for a Polymicrobial Necrotizing Fasciitis?,Imipenem or Doripenem or Meropenem,,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,
What are the Definitive Antibiotics given for Strep or Clostridium Necrotizing Fasciitis?,Penicillin G,,trauma,global,,,,trauma,soft tissue,soft tissue,,
What are the Antibiotics given if MRSA Necrotizing Fasciitis is suspected?,Vancomycin or Daptomycin,,trauma,global,,,,trauma,upper extremity,upper extremity,,
What is the MORTALITY RATE of Necrotizing Fasciitis?,32%,,onc,global,,,,onc,soft tissue,soft tissue,,
What Single Factor Correlates MOST with MORTALITY RATE of Necrotizing Fasciitis?,Time to Surgical Intervention,,trauma,global,,,,trauma,soft tissue,soft tissue,,
"During a Lisfranc (Tarsometatarsal) amputation of the Foot, what must be done to Prevent the patient from having a Supinated Foot during Gait?","Preserving the Soft-Tissue Envelope (Peroneus Brevis, Tertius, and Plantar Fascia) around the 5th Metatarsal Base",,footankle,midfoot,,,,footankle,midfoot,,,amputation
What is the Primary Etiology behind Amputations in the United States?,Vascular Insufficiency (80%),,hand,hand,,,,hand,lower extremities,lower extremities,,amputation
What Amputation is the EXCEPTION to the Rule that More Proximal Amputations lead to Greater Metabolic Costs?,Syme (Ankle Disarticulation),More Efficient than Midfoot Amputation,footankle,ankle,,,,footankle,ankle,,,amputation
What Organism is involved in Type III Necrotizing Fasciitis?,Vibrio,MARINE EXPOSURE FOR VIBRIO,trauma,global,,,,trauma,soft tissue,soft tissue,,
Are Anterior or Posterior Sternoclavicular Dislocations Most Common in Traumatic cases?,Anterior,,trauma,shoulder,,,,trauma,shoulder,,,
What is the Main Differential for an SC Joint Dislocation in the Adolescent population?,Medial Clavicle Physeal Fracture,(Physis doesn't Fuse until Age 20-25),shoulderelbow,shoulder,,,,shoulderelbow,clavicle,clavicle,,
What are the Common Mechanisms of Injury for Sternoclavicular Dislocations?,"Usually High Energy Injuries (MVC, Contact Sports)",,trauma,shoulder,,,,trauma,shoulder,,,
At what Age does the Medial Clavicle Physis typically Close?,"20-25 (First bone to Ossify, Last to fuse)",,shoulderelbow,shoulder,,,,shoulderelbow,clavicle,clavicle,,
What Type of Cartilage Lines the SC Joint?,Fibrocartilage,,shoulderelbow,shoulder,,,,shoulderelbow,sternoclavicular joint,sternoclavicular joint,,
What Type of Joint the SC Joint?,Diarthrodial Saddle Joint,,shoulderelbow,shoulder,,,,shoulderelbow,sternoclavicular joint,sternoclavicular joint,,
What is the Most Important Structure for AnteroPosterior Stability of the SC Joint?,Posterior Capsular Ligament,,shoulderelbow,shoulder,,,,shoulderelbow,sternum,sternum,,
What are the Functions of the Two Fasciculi of the Costoclavicular (Rhomboid) Ligament?,Anterior Fasciculus: Resists Superior Rotation and Lateral Displacement Posterior Fasciculus: Resists Inferior Rotation and Medial Displacement,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What are the 2 Functions of the Intra-Articular Disc of the SC Joint?,Prevents Medial Displacement of Clavicle Secondary Restraint to Superior Clavicle Displacement,,shoulderelbow,shoulder,,,,shoulderelbow,sternoclavicular joint,sternoclavicular joint,,
What are 4 potential Symptoms of Posterior SC Joint Dislocations?,Dyspnea or Dysphagia Tachypnea and Stridor Worse when SUPINE,,shoulderelbow,thoracic spine,,,,shoulderelbow,thoracic region,thoracic region,,
In what 2 Arm Positions does the Medial Clavicle Prominence become more Pronounced in ANTERIOR SC Joint Dislocations?,Arm ABduction and Elevation,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What are some Potential Neurovascular Symptoms in Posterior SC Joint Dislocations?,Parasthesias in Affected Upper Extremity  Venous Congestion or Diminished Pulse when compared with Contralateral side,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the STUDY of choice for Assessment of SC Joint Dislocations?,CT scan,Axial views can visualize Mediastinal Structures and Injuries Can Differentiate from Physeal Fractures,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What are the 2 Indications for Nonoperative Management of SC Joint Dislocations?,Atraumatic Subluxation  Chronic Anterior Dislocation that is MINIMALLY Symptomatic (> 3 weeks old),(Reassurance and Local Symptomatic treatment),shoulderelbow,hip,,,,shoulderelbow,sterno-clavicular joint,sterno-clavicular joint,,
What are the Indications for Closed Reduction Under General Anesthesia for SC Joint Dislocations?,Acute Anterior Dislocations (< 3weeks old) Acute Posterior Dislocations (< 3weeks old),,shoulderelbow,shoulder,,,,shoulderelbow,sterno-clavicular joint,sterno-clavicular joint,,closed reduction
What are the Indications for Open Reduction and Soft Tissue Reconstruction for SC Joint Dislocations?,Acute Posterior Dislocation with FAILED Closed Reduction  Chronic Anterior or Posterior Dislocation that remains persistently Symptomatic,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,closed reduction
What Patient Population most Commonly gets Clavicle fractures?,"Young, Active patients",Most common in Males < 30 years old,sports,shoulder,,,,sports,shoulder,,clavicle fracture,
What % of Clavicle fractures are Midshaft?,75-80%,,shoulderelbow,shoulder,,,,shoulderelbow,midshaft,midshaft,clavicle fracture,
What is the Most Common Mechanism of Injury for Midshaft Clavicle fractures?,Fall onto Lateral Aspect of Shoulder (85%),,trauma,shoulder,,,,trauma,clavicle,clavicle,clavicle fracture,
What is the Thinnest Apect of the Clavicle?,Junction between the Lateral and Middle Thirds,,shoulderelbow,shoulder,,,,shoulderelbow,acromial end,acromial end,,
What 4 associated Orthopaedic Injuries with Midshaft Clavicle Fractures?,Ipsilateral Scapular fracture (Floating shoulder) Scapulothoracic dissociation  Rib fracture (Most common) Neurovascular injury,,trauma,thoracic spine,,,,trauma,shoulder region,shoulder region,clavicle fracture,
What 3 Findings are associated with Scapulothoracic Dissociation?,Significantly Distracted/Widened Fracture Fragments Widened Interval between Scapula and Spine Brachial Plexus or Vascular injury,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What are the 4 Primary Stabilizers of the SC joint?,Posterior Capsular Ligament Anterior Sternoclavicular Ligament Costoclavicular ligament Intra-articular Disc,,shoulderelbow,shoulder,,,,shoulderelbow,sterno-clavicular joint,sterno-clavicular joint,,
What 6 Muscles Originate or Insert on the CLAVICLE?,Sternocleidomastoid Deltoid Trapezius Pectoralis Major Subclavius Sternohyoid,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
"In Midshaft Clavicle Fractures, what is the Biomechanical Effect on the Deltoid due to SHORTENING of the Clavicle?",Decreases Lever Arm of the Deltoid,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,clavicle fracture,
Where on the Clavicle does the Clavicular Head of the Pectoralis Major Originate from?,Anteroinferior Surface of Medial Half of Clavicle,,shoulderelbow,shoulder,,,,shoulderelbow,clavicle,clavicle,,
What Muscle Protects the Underlying Neurovascular Structures in a Midshaft Clavicle Fracture?,Subclavius,,trauma,global,,,,trauma,clavicle,clavicle,clavicle fracture,
What does the Medial Supraclavicular Nerve Supply?,Superior Chest Wall,Cutaneous nerves that run vertically over clavicle and supply superior chest wall,shoulderelbow,thoracic spine,,,,shoulderelbow,thoracic region,thoracic region,,
What are 3 reasons the middle third clavicle is the weakest area?,Thinnest and Narrowest Transitional area of the Bone in both Curvature and in Cross-Sectional anatomy Only area NOT supported by Ligamentous or Muscular attachments,,shoulderelbow,shoulder,,,,shoulderelbow,middle third clavicle,middle third clavicle,,
Olecranon Fractures make up what % of Upper Extremity Fractures?,10%,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What is a TransOlecranon Fracture/Dislocation and what is the Mechanism behind it?,Severe Axial Load leading to potential Instability of the Ulnohumeral Joint due to Severe Intra-Articular Comminution of the Olecranon fracture,Considered an Anterior Dislocation of the Elbow (Distal Humerus is driven THROUGH the Olecranon)  There is NO Disruption of the Proximal Radioulnar Joint,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What is the Function of the Greater Sigmoid (Semilunar) Notch of the Olecranon?,Provides Flexion-Extension Movement Adds to Stability of Elbow joint,Large Depression in the upper extremity of the Ulna that Fits the Trochlea of the Humerus. It is Formed by the Olecranon and the Coronoid Process,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What 2 muscles Insert on the Olecranon?,Triceps & Anconeus,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the 3 Fracture Morphology Characteristics described in the Mayo Classification of Olecranon Fractures?,Comminution Displacement Fracture-Dislocation,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,scr
What are the 5 Fracture Patterns described in the Colton Classification of Olecranon Fractures?,Non-displaced (Displacement does NOT increase with Elbow Flexion Avulsion (Displaced) Oblique & Transverse (Displaced) Comminuted (Displaced) Fracture-Dislocation (Transolecranon),Non-displaced:   Avulsion:   Oblique & Transverse:   Comminuted:   Fracture-Dislocation:,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,scr
What are the 6 Fracture Patterns described in the Schatzker Classification of Olecranon Fractures?,"Type A: Simple Transverse Type B: Transverse Impacted Type C: Oblique Type D: Comminuted Type E: More Distal, Extra-Articular Type F: Fracture-Dislocation",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,scr
What are the 3 Fracture Patterns described in the AO Classification of Olecranon Fractures?,Type A: Extra-Articular Type B: Intra-Articular Type C: Intra-Articular fractures of BOTH the Radial Head and Olecranon,Extra-Articular   Intra-Articular   Intra-Articular fractures of BOTH the Radial Head and Olecranon,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,scr
What are 2 indications for Nonoperative management of Olecranon Fractures?,"Nondisplaced fractures with Intact Extensor Mechanism  Displaced fracture in Low Demand, Elderly individuals",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
In what Position do you Immobilize Olecranon Fractures and for how Long when treating Nonoperatively?,Immobilization in 45-90 degrees of Flexion initially Begin Motion at 1 week,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
For which Olecranon fracture Patterns can you perform Tension Band Wiring?,Transverse Fracture with NO Comminution,Same Pattern Amenable to Intramedullary Fixation such as a Screw,shoulderelbow,shoulder,,,,shoulderelbow,proximal ulna,proximal ulna,,scr
