question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
Which cause of in-toeing is most common in infants?,Toddlers? Children?   Infants: Metatarsus adductus Toddlers: Internal tibial torsions Children: Femoral anteversion,,,foot,,,,pediatric,metatarsus,metatarsus,,
"""A patient who """"W"""" sits likely has what rotational abnormality of the lower extremities?","Increased femoral anteversion""",,,global,,,,pediatric,femoralneck,femoralneck,,
The thigh-foot angle is used to evaluate which aspect of the lower extremity rotational profile?,Tibial torsion,,,leg,tibia,,,pediatric,tibia,tibia,,
What is miserable malalignment syndrome?,Increased femoral anteversion and external tibial torsion,,,leg,,,,pediatric,femoralneck,femoralneck,,
What is Cerebral Palsy (CP)?,A nonprogressive upper motor neuron disease that occurs following injury to the developing brain,,,hip,,,,pediatric,brain,brain,,
What classification is used to grade patient mobility in CP?,GMFCS (Gross Motor Functional Classification Scale),"Level I: Independent ambulator, almost normal motor function Level II: Walks independently, difficulty outside of the home Level III: Walks with assistance Level IV: Severely limited, wheelchair bound Level V: Nonambulatory, needs assistance with all aspect of life",,pelvis,,,,pediatric,pelvis,,,
"What is the difference between quadripllegic, diplegic, and hemiplegic CP?",Quadriplegic: Total body involvement Diplegic: Lower extremities affected more than upper extremities Hemiplegic: Involves one side of the body,,,cervical spine,,,,pediatric,cervicalspine,cervicalspine,,
What is Little Leaguer's Shoulder?,Salter Harris I fracture of proximal humerus due to overuse,,,shoulder,,,,upperextremity,upperextremity::upperextremitylittleleaguersshoulder,upperextremity::upperextremitylittleleaguersshoulder,,
What is the most common factor leading to Little Leaguer's Shoulder?,Pitch count,,,shoulder,,,,upperextremity,upperextremity::upperextremitylittleleaguersshoulder,upperextremity::upperextremitylittleleaguersshoulder,,
What radiographic finding is suggestive of Little Leaguer's Shoulder?,Widening of the proximal humeral physis,,,shoulder,,,,upperextremity,upperextremity::upperextremitylittleleaguersshoulder,upperextremity::upperextremitylittleleaguersshoulder,,
What is the classification for supracondylar humerus fractures?,Gartland Classification,"Type I: Nondisplaced Type II: Displaced, intact posterior periosteal hinge Type III: Completely displaced, no intact posterior hinge",,shoulder,,,,upperextremity,distalhumerus,distalhumerus,,
Are flexion or extension type supracondylar humerus fractures more common?,Extension (98%),,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
What is the most common neurologic injury with extension type supracondylar humerus fractures?,AIN palsy,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
Supracondylar humerus fractures that displace in which direction have a higher association with AIN palsies?,Posterolateral,,,hip,,,,upperextremity,distalhumerus,distalhumerus,,
What is the second most common neurologic injury associated with extension type supracondylar humerus fractures?,Radial nerve palsy,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,radial nerve palsy,
Supracondylar humerus fractures that displace in which direction have a higher association with radial nerve palsies?,Distal fragment medial,,,hip,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
What is the most common neurologic injury seen with flexion type supracondylar humerus fractures?,Ulnar nerve palsy,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
"If you see ecchymosis anteromedially, what direction is the supracondylar humerus fracture displaced?",Posteriorlaterally,"Ecchymosis, if present, is opposite the displacement. Occurs due to stretching of the skin and soft tissues.",,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
What radiographic sign might you see with a subtle Type I supracondylar humerus fracture?,Posterior fat pad sign,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
What radiographic line should you check on the lateral radiograph when evaluating elbow injuries?,Anterior humeral line,Should intersect the middle third of the ossified capitellum in patients ≥5 years old,,elbow,,,,upperextremity,elbow,,,
What is Bauman's angle?,Measurement for coronal displacement on the AP radiograph,,,global,,,,upperextremity,coronoid,coronoid,,
How do you measure Bauman's angle?,Angle between a line drawn down the anatomic axis of the humerus and a line along the lateral condylar physis,Normal: 70-75,,shoulder,,,,upperextremity,distalhumerus,distalhumerus,,
What is the usual treatment for a Type I supracondylar humerus fracture?,Long arm cast,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
How are type II and type III supracondylar humerus fractures typically treated?,Closed reduction and percutaneous pinning (CRPP),,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,closed reduction
What is a general rule of thumb for how many pins should be used for Type II and Type III supracondylar humerus fractures?,Type II - 2 pins Type III - 3 pins,,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
Which structure is at risk when placing a medial pin in the elbow?,Ulnar nerve,,,elbow,,,,upperextremity,elbow,,,
What deformity most commonly occurs following malunion of supracondylar humerus fracture?,Cubitus Varus,This is mostly an aesthetic deformity,,thigh,,,,upperextremity,supracondylarfemur,supracondylarfemur,,
Development of cubitus varus increases the risk of which fracture in the future?,Lateral condyle fractures,,,shoulder,,,,upperextremity,distalhumerus,distalhumerus,,
Is the medial epicondyle an anterior or posterior structure?,Posterior,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What additional elbow injury commonly occurs in concert with medial epicondyle fractures?,Elbow dislocation,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What additional x-ray views are recommended to evaluate medial epicondyle fractures?,Internal oblique and distal humerus axial views,,,shoulder,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What are the operative indications (5) for medial epicondyle fractures?,Displacement > 5 mm Entrapment within the joint Open Ulnar nerve entrapment Gross elbow instability,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What reduction maneuver can be attempted to reduce an incarcerated medial epicondyle fracture?,Roberts Maneuver,Valgus stress with forearm supination and wrist extension,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
An olecranon apophyseal fracture in small children is pathognomonic for what condition?,Osteogenesis Imperfecta,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
"""A reported """"elbow dislocation"""" in a child <3 years old is more likely to be what other injury?","Distal humeral physeal separation""",,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
In which direction do distal humeral physeal separations most commonly occur?,Posteromedial,Remember: Elbow dislocations are most commonly posterolateral,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What is the most common radial neck fracture classification in children?,O'Brien Classification,Type I: <30° angulation Type II: 30-60° angulation Type III: >60° angulation,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What associated condition should be ruled out in the setting of radial neck fractures?,Compartment Syndrome of the volar forearm,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,compartment syndrome,
What complications (2) can occur following ORIF of a radial neck fracture with extensive dissection?,Radioulnar synostosis Avascular necrosis (AVN) of the radial head,,,elbow,,,orif,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
Lateral overgrowth at the elbow is a common occurance following what injury?,Lateral condyle fractures,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What neurologic complication can occur following lateral condyle fractures?,Tardy ulnar nerve palsy,"Tardy ulnar nerve palsy occurs as a consequence of nonunion of pediatric lateral condyle fractures at the elbow, which eventually lead to a cubitus valgus deformity. While the child grows, the deformity worsens and the ulnar nerve is gradually stretched until classic symptoms of ulnar nerve neuropathy appear.",,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What is a nursemaid's elbow?,Subluxation fo the radial head from the annular ligament,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What is the reduction maneuver for a nursemaid's elbow?,Supination and flexion OR hyperpronation in a flexed position,,,elbow,,,,upperextremity,upperextremity::upperextremityelbow,upperextremity::upperextremityelbow,,
What are the tolerances for both bone forearm fractures?,<9 years old - Angulation: <15° - Rotation: <45° - Bayonet apposition: <1 cm   >9 years old (Proximal 1/3) - Angulation: <10° - Rotation: 0°   >9 years old (Distal 2/3) - Angulation: <15° - Rotation: <30°,No bayonet apposition is acceptable >9 years old,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What is a greenstick fracture?,Incomplete fracture with an intact cortex,,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What is a buckle (torus) fracture?,Incomplete compression fracture at the junction between the cortical and metaphyseal bone,Must have two points of inflection in the cortex,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What are some important characteristics of a good long arm cast?,3-point mold Interosseous mold Straight ulnar border Supracondylar mold Ulnar deviation,,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What is a cast index?,Sagittal width of the cast divided by the coronal width of the cast,,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What value should the cast index be?,<0.8,Associated with a lower chance of losing reduction,,forearm,,,,upperextremity,upperextremity::upperextremityforearmwrist,upperextremity::upperextremityforearmwrist,,
What is a Seymour fracture?,Open distal phalanx fracture with germinal matrix interposition,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What complications commonly occur following Seymour fractures?,1) Infection 2) Nail plate deformity 3) Physeal arrest,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
How long after injury is a Seymor fracture considered chronic?,>24 hours,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
Finger syndactyly most commonly occurs between which two digits?,Middle and ring fingers,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What constitutes a complex syndactyly?,Sharing of bone or nail plate between two digits,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What makes a syndactyly complete or incomplete?,Whether or not the skin bridge extends the entire length of the digit,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is the most common complication following syndactyly release?,Web creep,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is preaxial polydactyly?,Thumb duplication,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is the classification for preaxial polydactyly?,Wassel Classification,Type I: Bifid distal phalanx Type II: Duplicated distal phalanx Type III: Bifid proximal phalanx Type IV: Duplicated proximal phalanx Type V: Bifid metacarpal Type VI: Duplicated metacarpal Type VII: Triphalangeal thumb,,wrist,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is postaxial polydactyly?,Extra rudimentary digit or nubbin on the ulnar aspect of the hand,,,forearm,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
Postaxial polydactyly is most common in which ethnicity?,African Americans,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is camptodactyly?,Flexion deformity of the finger,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What tendon is involved with pediatric trigger thumb?,Flexor Pollicis Longus (FPL),,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is the name of the nodule commonly palpable with pediatric trigger thumb?,Notta's node,,,hand,,,,upperextremity,upperextremity::upperextremityhand,upperextremity::upperextremityhand,,
What is Madelung's deformity?,Disruption of the volar ulnar third of the distal radial physis,,,forearm,,,,upperextremity,distalradius,distalradius,,
What condition is commonly associated with an undescended scapula?,Sprengel's deformity,,,global,,,,upperextremity,scapula,scapula,,
Pseudoarthrosis of the clavicle is most commonly seen on which side?,Right side,Note: Found on the left side with situs inversus,,global,,,,upperextremity,clavicle,clavicle,,
What is believed to contribute to pseudoarthrosis of the clavicle?,Pulsatile compression from the subclavian,,,global,,,,upperextremity,clavicle,clavicle,,
How do you name a scoliotic curve?,Named for the direction of the convexity,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
Early onset scoliosis occurs before what age?,10 years old,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
"At what ages do infantile, juvenile, and adolescent scoliosis occur?",Infantile: <3 years old Juvenile: 3-10 years old Adolescent: >10 years old,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
How do you measure a Cobb angle?,1) Draw line along superior end plate of most proximally tilted vertebrae   2) Draw second line on the inferior end plate of the most tilted vertebrae distally   3) Perpendicular lines are then drawn to these two lines and the angle of intersection is measured,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
A scoliometer reading of 7° (rotational) is associated with what degree of coronal plane abnormality?,20°,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What is the difference between scoliosis and spinal asymmetry?,Spinal asymmetry <10° curve Scoliosis ≥10° curve,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
How do you determine the stable vertebrae and the neutral vertebrae when evaluating an x-ray?,"Stable vertebrae: Most proximal vertebrae that is bisected by the central sacral vertical line (CSVL) Neutral vertebrae: Neutrally rotated, equal distance between pedicles",,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
Thoracic scoliosis most commonly occurs in which direction?,Right,,spine,thoracic spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What imaging modality should be obtained in any patient with an atypical scoliotic curve (ie. left thoracic curve)?,MRI of the spine,"To evaluate for intraspinal pathology such as tethered cord, Chiari malformation or syrinx",spine,thoracic spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
Are larger scoliotic curves more common in males or females?,Females,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What is the best predictor of curve progression?,Peak growth velocity,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
When does peak growth velocity occur in regards to Risser staging?,Before Risser Stage 1,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
Describe the basic treatment strategy based on curve severity?,0-24°: Observation 25-49°: Bracing ≥50°: Surgery,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,scr
What scioliotic curve magnitude is associated with cardiopulmonary dysfunction?,>90°,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What thoracic and lumbar curve magnitudes have a high association with progression in a skeletally mature patient?,Thoracic: >50° Lumbar: >30°,,spine,thoracic spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What is the goal of bracing as a treatment modality for scoliosis?,To stop curve progression in skeletally immature patients,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
How many hours a day must the brace actually be worn to prevent progression of scoliosis?,Minimum of 13 hours/day,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What is crankshaft phenomenon?,Progressive rotational and angular deformity after segmental posterior spinal fusion,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,spinal fusion
"In congenital scoliosis, what deformity progresses most rapidly?",Unsegmented bar with hemivertebrae,,spine,spine,,,,spine,spine::spinescoliosis,spine::spinescoliosis,,
What is the normal thoracic kyphosis?,20-40°,,spine,thoracic spine,,,,spine,spine::spinekyphosis,spine::spinekyphosis,,
What is the Scheuermann's Kyphosis?,Rigid thoracic kyphosis of >45°,,spine,thoracic spine,,,,spine,spine::spinekyphosis,spine::spinekyphosis,,
What radiographic finding must be present to diagnose Scheuermann's Kyphosis?,Anterior wedging of >5° in 3 consecutive vertebrae,,spine,spine,,,,spine,spine::spinekyphosis,spine::spinekyphosis,,
What additional radiographic finding is seen at the endplates in Scheuermann's Kyphosis?,Schmorl's nodes,Protrustions into the vertebral body from the disk space,spine,spine,,,,spine,spine::spinekyphosis,spine::spinekyphosis,,
What is spondylolysis?,Anatomic defect of the pars interarticularis without vertebral body displacement,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,spondylolysis,
What radiographic finding is seen with spondylolysis?,Scotty dog sign,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,spondylolysis,
On what radiograph are the pars defect and Scotty dog sign identified?,Oblique,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
What is spondylolisthesis?,Forward translation of one vertebral segment relative to the next caudal segment,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
How is spondylolisthesis classified?,Meyerding Classification,Grade I: <25% Grade II: 25-49% Grade III: 50-75% Grade IV: >75-100% Grade V: Spondyloptosis,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
What is spondyloptosis?,"Complete, >100% slippage of a vertebral body anteriorly to the next caudal segment",,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
What level does spondylolisthesis most commonly occur?,L5/S1,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
What physical exam maneuver will elicit pain in a patient with spondylolisthesis?,Lumbar extension,,spine,lumbar spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
Which sports may predispose patients to spondylolysis?,Sports with lumbar hyperextension,"Ex. Gymnastics, diving, football, and rowing.",spine,lumbar spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,spondylolysis,
What muscle group is most commonly spastic with acute spondylolisthesis?,Hamstrings,,spine,spine,,,,spine,spine::spinespondylolysisspondylolisthesis,spine::spinespondylolysisspondylolisthesis,,
What is Developmental Dysplasia of the Hip (DDH)?,Abnormal acetabular development resulting in a shallow socket with femoral head subluxation or dislocation,,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What patients are at risk for developing Developmental Dysplasia of the Hip?,1) First born 2) Female 3) Breech 4) Positive family history,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What other conditions (3) should also be looked for in a patient with Developmental Dysplasia of the Hip?,Torticollis Clubfoot Metatarsus adductus,"""""""Packaging disorders""""""",,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
"In typical Developmental Dysplasia of the Hip, where is the acetabular deficiency?",Anterolateral,,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What radiograph can be obtained to evaluate anterior femoral head coverage?,False profile view,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
"In spastic Developmental Dysplasia of the Hip, where is the acetabular deficiency?",Posterosuperior,"Spasticity or contracture usually involves the adductor and iliopsoas muscles. Because of the pull of these muscles, the majority of hips subluxate in the posterosuperior direction.",,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What 2 physical exam maneuvers are used to test for Developmental Dysplasia of the Hip in patients <3 months of age?,Ortolani: Abduction and elevation of femur (reduces hip dislocation) Barlow: Adduction and depression of the femur (dislocates hip),Remember - Barlow pushes Backwards,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the Galeazzi sign?,Apparent limb length discrepancy noted at the top of the knees when the patient is supine with the hips and knees flexed to 90°,"DDH, congenital short femur, and proximal femoral deficiency may all cause a positive Galeazzi sign",,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,scr
What is the primary imaging modality for Developmental Dysplasia of the Hip in patients <6 months of age?,Ultrasound,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the alpha angle of the hip?,Measurement of the bony acetabulum on ultrasound,Normal is >60°,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
At what age does the femoral head begin to ossify?,4-6 months,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is Hilgrenreiner's line?,Horizontal line through the triradiate cartilage bilaterally,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
Where should the normal femoral head be in relation to Hilgenreiner's line?,Femoral head should be inferior,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is Perkin's line?,Vertical line Perpendicular to Hilgenreiner's line on the most lateral aspect of the acetabulum,,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
Where should the normal femoral head be in relation to Perkin's line?,Femoral head should be medial,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is Shenton's line?,A smooth line drawn from the inferior femoral neck and continuing along the superior aspect of the obturator foramen,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the acetabular index (AI)?,Angle formed by Hilgreiner's line and the lateral edge of the acetabulum,,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is normal acetabular index?,<25°,Remember - AI should be 24° by 24 months,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the Center Edge Angle (CEA)?,Angle formed by a vertical line centered in the femoral head and the lateral aspect of the acetabulum,,,pelvis,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is considered a normal Center Edge Angle (CEA)?,>20°,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the initial treatment of Developmental Dysplasia of the Hip for a patient <6 months old?,Pavlik harness,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is the success rate of treatment in a Pavlik harness?,90%,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What complication is seen with pavlik harnesses applied in too much abduction?,Femoral head AVN if >60° of abduction,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What complications (2) are seen with Pavlik harnesses applied in too much flexion?,Transient femoral nerve palsy if flexed >100° Inferior subluxation of the femoral head,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What radiographic finding would indicate femoral head AVN following treatment in a Pavlik harness?,No radiographic evidence of the ossific nucleus of the femoral head 1 year after initiation of treatment,,,hip,,,,pediatric,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,lowerextremity::lowerextremitydevelopmentaldysplasiaofthehip,,
What is Legg-Calve-Perthes?,Idiopathic AVN of the proximal epiphysis,,,global,,,,pediatric,femoralhead,femoralhead,,
What is the classification for Legg-Calve-Perthes?,Herring Classification,Based on AP radiograph   Group A: Full height of the lateral pillar of the epiphysis Group B: >50% height maintained Group C: <50% height maintained,,global,,,,pediatric,femoralhead,femoralhead,,
Is Legg-Calve-Perthes more common in boys or girls?,Boys,,,global,,,,pediatric,femoralhead,femoralhead,,
Patients with Legg-Calve-Perthes commonly present with what complaints?,Painless limp Knee pain,,,knee,,,,pediatric,femoralhead,femoralhead,,
"On physical exam, what motion is typically lost for patients with Legg-Calve-Perthes?",Abduction and internal rotation,,,hip,,,,pediatric,hip,,,
What is the association between age at diagnosis and prognosis for patients with Legg-Calve-Perthes?,Age <6 years old at diagnosis = better outcomes,,,global,,,,pediatric,femoralhead,femoralhead,,
"If bilateral Legg-Calve-Perthes, should lesions be in the same stage of disease?","No, if symmetric think Multiple Epiphyseal Dysplasia (MED) or thyroid disorders 15% of Perthes is bilateral, but will not be in the same stage of disease",,,global,,,,pediatric,femoralhead,femoralhead,,
What is SCFE?,Slippage of the proximal femoral metaphysis relative to the epiphysis,,,global,,,,pediatric,femoralhead,femoralhead,,
How do you determine clinically if a SCFE is stable or unstable?,Loder Classification,Stable: Able to bear weight (even with crutches) Unstable: Unable to bear weight,,global,,,,pediatric,femoralhead,femoralhead,,
What is the classification for SCFE slip severity?,Southwick Classification - the difference between femoral epiphyseal diaphyseal angles of both hips,Mild: <30° Moderate: 30°-50° Severe: >50°,,hip,,,,pediatric,femoralhead,femoralhead,,
What is the epiphyseal diaphyseal angle?,Angle between a line drawn perpendicular to the proximal femoral epiphysis and a line drawn along the femoral diaphysis,,,thigh,,,,pediatric,proximalfemur,proximalfemur,,
What constitutes an acute SCFE?,Symptoms for <3 weeks,,,global,,,,pediatric,femoralhead,femoralhead,,
What is the direction of slippage for SCFE?,"Metaphysis slips anteriorly and externally rotates, epiphysis stays within the acetabulum",,,pelvis,,,,pediatric,femoralhead,femoralhead,,
Through what zone of the physis do SCFEs occur?,Hypertrophic zone,,,global,,,,pediatric,femoralhead,femoralhead,,
What types of patients are at a higher risk for SCFE?,Obese adolescent boys,,,global,,,,pediatric,femoralhead,femoralhead,,
What percentage of SCFE patients have bilateral involvement?,25%,,,global,,,,pediatric,femoralhead,femoralhead,,
What radiographs (2) should be obtained for stable SCFEs?,"AP pelvis, Frog leg",,,global,,,,pediatric,femoralhead,femoralhead,,
What type of lateral radiograph should be obtained if a SCFE is unstable?,Shoot through lateral,Frog leg position may exacerbate slip and should be avoided,,global,,,,pediatric,femoralhead,femoralhead,,
What is Klein's line?,Line drawn along superior femoral neck,This should intersect the epiphysis in a normal hip on AP radiograph,,hip,,,,pediatric,femoralneck,femoralneck,,
What are the indications (3) for an endocrine work up for a patient with SCFE?,<50th percentile for weight <10 years old Valgus slips,,,global,,,,pediatric,femoralhead,femoralhead,,
What is the most common cause of non-idiopathic SCFE?,Hypothyroidism,,,global,,,,pediatric,femoralhead,femoralhead,,
Why do patients with SCFE commonly complain of medial knee pain?,Referred pain from the anterior branch of the obturator nerve,,,knee,,,,pediatric,femoralhead,femoralhead,,
What unique physical exam finding is seen in a patient with a SCFE?,Obligatory external rotation with passive flexion,,,global,,,,pediatric,femoralhead,femoralhead,,
How are SCFEs most commonly treated?,In situ fixation with cannulated screws,,,global,,,,pediatric,femoralhead,femoralhead,,scr
