question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis1,metadata.diagnosis2,metadata.procedure,metadata.procedure2,metadata.procedure3,,
What is a nursemaid's elbow?,Subluxation fo the radial head from the annular ligament,,peds,,elbow,,nursemaids_elbow,,,,,,
What is the reduction maneuver for a nursemaid's elbow?,Supination and flexion OR hyperpronation in a flexed position,,peds,,elbow,,nursemaids_elbow,,,,,,
What are the tolerances for both bone forearm fractures?,<9 years old - Angulation: <15° - Rotation: <45° - Bayonet apposition: <1 cm   >9 years old (Proximal 1/3) - Angulation: <10° - Rotation: 0°   >9 years old (Distal 2/3) - Angulation: <15° - Rotation: <30°,No bayonet apposition is acceptable >9 years old,peds,,forearm,,both_bone_fx,,,,,,
What is a greenstick fracture?,Incomplete fracture with an intact cortex,,peds,,forearm,,greenstick_fx,,,,,,
What is a buckle (torus) fracture?,Incomplete compression fracture at the junction between the cortical and metaphyseal bone,Must have two points of inflection in the cortex,peds,,forearm,,buckle_fx,,,,,,
What are some important characteristics of a good long arm cast?,3-point mold Interosseous mold Straight ulnar border Supracondylar mold Ulnar deviation,,peds,,forearm,,,,,,,,
What is a cast index?,Sagittal width of the cast divided by the coronal width of the cast,,peds,,non-anatomic,,,,,,,,
What value should the cast index be?,<0.8,Associated with a lower chance of losing reduction,peds,,non-anatomic,,,,,,,,
What is a Seymour fracture?,Open distal phalanx fracture with germinal matrix interposition,,peds,,hand,,seymour_fx,,,,,,
What complications commonly occur following Seymour fractures?,1) Infection 2) Nail plate deformity 3) Physeal arrest,,peds,,hand,,seymour_fx,,,,,,
How long after injury is a Seymor fracture considered chronic?,>24 hours,,peds,,hand,,seymour_fx,,,,,,
Finger syndactyly most commonly occurs between which two digits?,Middle and ring fingers,,peds,,hand,,finger_syndactyly,,,,,,
What constitutes a complex syndactyly?,Sharing of bone or nail plate between two digits,,peds,,hand,,finger_syndactyly,,,,,,
What makes a syndactyly complete or incomplete?,Whether or not the skin bridge extends the entire length of the digit,,peds,,hand,,finger_syndactyly,,,,,,
What is the most common complication following syndactyly release?,Web creep,,peds,,hand,,finger_syndactyly,,,,,,
What is preaxial polydactyly?,Thumb duplication,,peds,,hand,,preaxial_polydactyly,,,,,,
What is the classification for preaxial polydactyly?,Wassel Classification,Type I: Bifid distal phalanx Type II: Duplicated distal phalanx Type III: Bifid proximal phalanx Type IV: Duplicated proximal phalanx Type V: Bifid metacarpal Type VI: Duplicated metacarpal Type VII: Triphalangeal thumb,peds,,hand,,preaxial_polydactyly,,,,,,
What is postaxial polydactyly?,Extra rudimentary digit or nubbin on the ulnar aspect of the hand,,peds,,hand,,postaxial_polydactyly,,,,,,
Postaxial polydactyly is most common in which ethnicity?,African Americans,,peds,,hand,,postaxial_polydactyly,,,,,,
What is camptodactyly?,Flexion deformity of the finger,,peds,,hand,,camptodactyly,,,,,,
What tendon is involved with pediatric trigger thumb?,Flexor Pollicis Longus (FPL),,peds,,hand,,trigger_thumb,,,,,,
What is the name of the nodule commonly palpable with pediatric trigger thumb?,Notta's node,,peds,,hand,,trigger_thumb,,,,,,
What is Madelung's deformity?,Disruption of the volar ulnar third of the distal radial physis,,peds,,forearm,,madelungs_deformity,,,,,,
What condition is commonly associated with an undescended scapula?,Sprengel's deformity,,peds,,shoulder,,undescended_scapula,,,,,,
Pseudoarthrosis of the clavicle is most commonly seen on which side?,Right side,Note: Found on the left side with situs inversus,peds,,shoulder,,,,,,,,
What is believed to contribute to pseudoarthrosis of the clavicle?,Pulsatile compression from the subclavian,,peds,,shoulder,,,,,,,,
How do you name a scoliotic curve?,Named for the direction of the convexity,,peds,spine,spine,,scoliosis,,,,,,
Early onset scoliosis occurs before what age?,10 years old,,peds,spine,spine,,scoliosis,,,,,,
"At what ages do infantile, juvenile, and adolescent scoliosis occur?",Infantile: <3 years old Juvenile: 3-10 years old Adolescent: >10 years old,,peds,spine,spine,,scoliosis,,,,,,
How do you measure a Cobb angle?,1) Draw line along superior end plate of most proximally tilted vertebrae   2) Draw second line on the inferior end plate of the most tilted vertebrae distally   3) Perpendicular lines are then drawn to these two lines and the angle of intersection is measured,,peds,spine,spine,,scoliosis,,,,,,
A scoliometer reading of 7° (rotational) is associated with what degree of coronal plane abnormality?,20°,,peds,spine,spine,,scoliosis,,,,,,
What is the difference between scoliosis and spinal asymmetry?,Spinal asymmetry <10° curve Scoliosis ≥10° curve,,peds,spine,spine,,scoliosis,,,,,,
How do you determine the stable vertebrae and the neutral vertebrae when evaluating an x-ray?,"Stable vertebrae: Most proximal vertebrae that is bisected by the central sacral vertical line (CSVL) Neutral vertebrae: Neutrally rotated, equal distance between pedicles",,peds,spine,spine,,,,,,,,
Thoracic scoliosis most commonly occurs in which direction?,Right,,peds,spine,spine,thoracic spine,scoliosis,,,,,,
What imaging modality should be obtained in any patient with an atypical scoliotic curve (ie. left thoracic curve)?,MRI of the spine,"To evaluate for intraspinal pathology such as tethered cord, Chiari malformation or syrinx",peds,spine,spine,thoracic spine,scoliosis,,,,,,
Are larger scoliotic curves more common in males or females?,Females,,peds,spine,spine,,scoliosis,,,,,,
What is the best predictor of curve progression?,Peak growth velocity,,peds,spine,spine,,scoliosis,,,,,,
When does peak growth velocity occur in regards to Risser staging?,Before Risser Stage 1,,peds,spine,spine,,scoliosis,,,,,,
Describe the basic treatment strategy based on curve severity?,0-24°: Observation 25-49°: Bracing ≥50°: Surgery,,peds,spine,spine,,scoliosis,,,,,,
What scioliotic curve magnitude is associated with cardiopulmonary dysfunction?,>90°,,peds,spine,spine,,scoliosis,,,,,,
What thoracic and lumbar curve magnitudes have a high association with progression in a skeletally mature patient?,Thoracic: >50° Lumbar: >30°,,peds,spine,spine,thoracic spine,scoliosis,,,,,,
What is the goal of bracing as a treatment modality for scoliosis?,To stop curve progression in skeletally immature patients,,peds,spine,spine,,scoliosis,,,,,,
How many hours a day must the brace actually be worn to prevent progression of scoliosis?,Minimum of 13 hours/day,,peds,spine,spine,,scoliosis,,,,,,
What is crankshaft phenomenon?,Progressive rotational and angular deformity after segmental posterior spinal fusion,,peds,spine,spine,,scoliosis,,posterior_spinal_fusion,,,,
"In congenital scoliosis, what deformity progresses most rapidly?",Unsegmented bar with hemivertebrae,,peds,spine,spine,,scoliosis,,,,,,
What is the normal thoracic kyphosis?,20-40°,,peds,spine,spine,thoracic spine,,,,,,,
What is the Scheuermann's Kyphosis?,Rigid thoracic kyphosis of >45°,,peds,spine,spine,thoracic spine,scheuermanns_kyphosis,,,,,,
What radiographic finding must be present to diagnose Scheuermann's Kyphosis?,Anterior wedging of >5° in 3 consecutive vertebrae,,peds,spine,spine,,scheuermanns_kyphosis,,,,,,
What additional radiographic finding is seen at the endplates in Scheuermann's Kyphosis?,Schmorl's nodes,Protrustions into the vertebral body from the disk space,peds,spine,spine,,scheuermanns_kyphosis,,,,,,
What is spondylolysis?,Anatomic defect of the pars interarticularis without vertebral body displacement,,peds,spine,spine,,spondylolysis,,,,,,
What radiographic finding is seen with spondylolysis?,Scotty dog sign,,peds,spine,spine,,spondylolysis,,,,,,
On what radiograph are the pars defect and Scotty dog sign identified?,Oblique,,peds,spine,spine,,spondylolysis,,,,,,
What is spondylolisthesis?,Forward translation of one vertebral segment relative to the next caudal segment,,peds,spine,spine,,spondylolisthesis,,,,,,
How is spondylolisthesis classified?,Meyerding Classification,Grade I: <25% Grade II: 25-49% Grade III: 50-75% Grade IV: >75-100% Grade V: Spondyloptosis,peds,spine,spine,,spondylolisthesis,,,,,,
What is spondyloptosis?,"Complete, >100% slippage of a vertebral body anteriorly to the next caudal segment",,peds,spine,spine,,spondyloptosis,,,,,,
What level does spondylolisthesis most commonly occur?,L5/S1,,peds,spine,spine,,spondylolisthesis,,,,,,
What physical exam maneuver will elicit pain in a patient with spondylolisthesis?,Lumbar extension,,peds,spine,spine,,spondylolisthesis,,,,,,
Which sports may predispose patients to spondylolysis?,Sports with lumbar hyperextension,"Ex. Gymnastics, diving, football, and rowing.",peds,spine,spine,,spondylolysis,,,,,,
What muscle group is most commonly spastic with acute spondylolisthesis?,Hamstrings,,peds,spine,spine,,spondylolisthesis,,,,,,
What is Developmental Dysplasia of the Hip (DDH)?,Abnormal acetabular development resulting in a shallow socket with femoral head subluxation or dislocation,,peds,,pelvis,,ddh,,,,,,
What patients are at risk for developing Developmental Dysplasia of the Hip?,1) First born 2) Female 3) Breech 4) Positive family history,,peds,,hip,,ddh,,,,,,
What other conditions (3) should also be looked for in a patient with Developmental Dysplasia of the Hip?,Torticollis Clubfoot Metatarsus adductus,"""""""Packaging disorders""""""",peds,,hip,,ddh,,,,,,
"In typical Developmental Dysplasia of the Hip, where is the acetabular deficiency?",Anterolateral,,peds,,hip,,ddh,,,,,,
What radiograph can be obtained to evaluate anterior femoral head coverage?,False profile view,,peds,,hip,,ddh,,,,,,
"In spastic Developmental Dysplasia of the Hip, where is the acetabular deficiency?",Posterosuperior,"Spasticity or contracture usually involves the adductor and iliopsoas muscles. Because of the pull of these muscles, the majority of hips subluxate in the posterosuperior direction.",peds,,hip,,ddh,,,,,,
What 2 physical exam maneuvers are used to test for Developmental Dysplasia of the Hip in patients <3 months of age?,Ortolani: Abduction and elevation of femur (reduces hip dislocation) Barlow: Adduction and depression of the femur (dislocates hip),Remember - Barlow pushes Backwards,peds,,hip,,ddh,,,,,,
What is the Galeazzi sign?,Apparent limb length discrepancy noted at the top of the knees when the patient is supine with the hips and knees flexed to 90°,"DDH, congenital short femur, and proximal femoral deficiency may all cause a positive Galeazzi sign",peds,,hip,,ddh,,,,,,
What is the primary imaging modality for Developmental Dysplasia of the Hip in patients <6 months of age?,Ultrasound,,peds,,hip,,ddh,,,,,,
What is the alpha angle of the hip?,Measurement of the bony acetabulum on ultrasound,Normal is >60°,peds,,hip,,ddh,,,,,,
At what age does the femoral head begin to ossify?,4-6 months,,peds,,hip,,ddh,,,,,,
What is Hilgrenreiner's line?,Horizontal line through the triradiate cartilage bilaterally,,peds,,hip,,,,,,,,
Where should the normal femoral head be in relation to Hilgenreiner's line?,Femoral head should be inferior,,peds,,hip,,,,,,,,
What is Perkin's line?,Vertical line Perpendicular to Hilgenreiner's line on the most lateral aspect of the acetabulum,,peds,,pelvis,,,,,,,,
Where should the normal femoral head be in relation to Perkin's line?,Femoral head should be medial,,peds,,hip,,,,,,,,
What is Shenton's line?,A smooth line drawn from the inferior femoral neck and continuing along the superior aspect of the obturator foramen,,peds,,hip,,,,,,,,
What is the acetabular index (AI)?,Angle formed by Hilgreiner's line and the lateral edge of the acetabulum,,peds,,pelvis,,,,,,,,
What is normal acetabular index?,<25°,Remember - AI should be 24° by 24 months,peds,,pelvis,,,,,,,,
What is the Center Edge Angle (CEA)?,Angle formed by a vertical line centered in the femoral head and the lateral aspect of the acetabulum,,peds,,pelvis,,,,,,,,
What is considered a normal Center Edge Angle (CEA)?,>20°,,peds,,hip,,,,,,,,
What is the initial treatment of Developmental Dysplasia of the Hip for a patient <6 months old?,Pavlik harness,,peds,,hip,,ddh,,pavlik_harness,,,,
What is the success rate of treatment in a Pavlik harness?,90%,,peds,,hip,,ddh,,pavlik_harness,,,,
What complication is seen with pavlik harnesses applied in too much abduction?,Femoral head AVN if >60° of abduction,,peds,,hip,,ddh,,pavlik_harness,,,,
What complications (2) are seen with Pavlik harnesses applied in too much flexion?,Transient femoral nerve palsy if flexed >100° Inferior subluxation of the femoral head,,peds,,hip,,ddh,,pavlik_harness,,,,
What radiographic finding would indicate femoral head AVN following treatment in a Pavlik harness?,No radiographic evidence of the ossific nucleus of the femoral head 1 year after initiation of treatment,,peds,,hip,,ddh,,pavlik_harness,,,,
What is Legg-Calve-Perthes?,Idiopathic AVN of the proximal epiphysis,,peds,,hip,,legg-calve-perthes,,,,,,
What is the classification for Legg-Calve-Perthes?,Herring Classification,Based on AP radiograph   Group A: Full height of the lateral pillar of the epiphysis Group B: >50% height maintained Group C: <50% height maintained,peds,,hip,,legg-calve-perthes,,,,,,
Is Legg-Calve-Perthes more common in boys or girls?,Boys,,peds,,hip,,legg-calve-perthes,,,,,,
Patients with Legg-Calve-Perthes commonly present with what complaints?,Painless limp Knee pain,,peds,,hip,,legg-calve-perthes,,,,,,
"On physical exam, what motion is typically lost for patients with Legg-Calve-Perthes?",Abduction and internal rotation,,peds,,hip,,legg-calve-perthes,,,,,,
What is the association between age at diagnosis and prognosis for patients with Legg-Calve-Perthes?,Age <6 years old at diagnosis = better outcomes,,peds,,hip,,legg-calve-perthes,,,,,,
"If bilateral Legg-Calve-Perthes, should lesions be in the same stage of disease?","No, if symmetric think Multiple Epiphyseal Dysplasia (MED) or thyroid disorders 15% of Perthes is bilateral, but will not be in the same stage of disease",,peds,,hip,,legg-calve-perthes,,,,,,
What is SCFE?,Slippage of the proximal femoral metaphysis relative to the epiphysis,,peds,,hip,,scfe,,,,,,
How do you determine clinically if a SCFE is stable or unstable?,Loder Classification,Stable: Able to bear weight (even with crutches) Unstable: Unable to bear weight,peds,,hip,,scfe,,,,,,
What is the classification for SCFE slip severity?,Southwick Classification - the difference between femoral epiphyseal diaphyseal angles of both hips,Mild: <30° Moderate: 30°-50° Severe: >50°,peds,,hip,,scfe,,,,,,
What is the epiphyseal diaphyseal angle?,Angle between a line drawn perpendicular to the proximal femoral epiphysis and a line drawn along the femoral diaphysis,,peds,,hip,,scfe,,,,,,
What constitutes an acute SCFE?,Symptoms for <3 weeks,,peds,,hip,,scfe,,,,,,
What is the direction of slippage for SCFE?,"Metaphysis slips anteriorly and externally rotates, epiphysis stays within the acetabulum",,peds,,hip,,scfe,,,,,,
Through what zone of the physis do SCFEs occur?,Hypertrophic zone,,peds,,hip,,scfe,,,,,,
What types of patients are at a higher risk for SCFE?,Obese adolescent boys,,peds,,hip,,scfe,,,,,,
What percentage of SCFE patients have bilateral involvement?,25%,,peds,,hip,,scfe,,,,,,
What radiographs (2) should be obtained for stable SCFEs?,"AP pelvis, Frog leg",,peds,,hip,,scfe,,,,,,
What type of lateral radiograph should be obtained if a SCFE is unstable?,Shoot through lateral,Frog leg position may exacerbate slip and should be avoided,peds,,hip,,scfe,,,,,,
What is Klein's line?,Line drawn along superior femoral neck,This should intersect the epiphysis in a normal hip on AP radiograph,general,,hip,,,,,,,,
What are the indications (3) for an endocrine work up for a patient with SCFE?,<50th percentile for weight <10 years old Valgus slips,,peds,,hip,,scfe,,,,,,
What is the most common cause of non-idiopathic SCFE?,Hypothyroidism,,peds,,hip,,scfe,,,,,,
Why do patients with SCFE commonly complain of medial knee pain?,Referred pain from the anterior branch of the obturator nerve,,peds,,hip,,scfe,,,,,,
What unique physical exam finding is seen in a patient with a SCFE?,Obligatory external rotation with passive flexion,,peds,,hip,,scfe,,,,,,
How are SCFEs most commonly treated?,In situ fixation with cannulated screws,,peds,,hip,,scfe,,,,,,
How many threads should cross the physis when fixating a SCFE?,5 threads,"Less is associated with slip progression   < 5 threads engaged in epiphysis increases risk of progression of slip >10° (<5 threads 41% progressed, >/= 5 threads 0% progressed)",peds,,hip,,scfe,,,,,,
How do you confirm that the screw is not in the hip joint when fixating a SCFE?,Approach-Withdraw technique: Hip range of motion on fluoroscopy,,peds,,hip,,scfe,,,,,,
"During the treatment of an unstable SCFE with in situ screw fixation your attending slides an instrument along the femoral neck, why?",Capsulotomy,Decompression of the casule theoretically dereases the risk of AVN,peds,,hip,,scfe,,,,,,
When is prophylactic fixation of the contralateral hip considered for SCFE patients?,1) Patients with endocrine abnormalities 2) Age <10 years old 3) Contralateral hip pain,,peds,,hip,,scfe,,,,,,
What are the Kocher criteria?,Set values to help distinguish between transient synovitis and septic arthritis,-Inability to bear weight -Serum WBC > 12 k -ESR > 40 -Temperature > 101.3°F,peds,,non-anatomic,,septic_arthritis,,,,,,
What is the probability of septic arthritis with a Kocher score of 0-4?,0: <1% 1: 3% 2: 40% 3: 93% 4: >99%,CRP>20 mg/l,peds,,non-anatomic,,septic_arthritis,,,,,,
What is the diagnostic study of choice to rule out a septic hip?,Ultrasound + aspiration,,peds,,hip,,septic_arthritis,,,,,,
What position is the hip generally held in if septic?,"Flexion, Abduction, External Rotation (FABER)",This position allows for the greatest volume within the hip capsule,peds,,hip,,septic_arthritis,,,,,,
How is transient synovitis treated?,Anti-inflammatory medications,,peds,,hip,,transient_synovitis,,,,,,
What is the classification for pediatric femoral neck fractures?,Delbet,Type I: Transphyseal Type II: Transcervical Type III: Cervicotrochanteric/Basicervical Type IV: Intertrochanteric,peds,,hip,,pediatric_femoral_neck_fx,,,,,,
What are the different treatment modalities (7) for fixing pediatric femoral shaft fractures?,Pavlik harness Spica cast Flexible IM nail Rigid IM nail ORIF Submuscular plate External fixator,,peds,,thigh,femoral shaft,pediatric_femoral_neck_fx,,orif,,,,
What is the treatment of choice for patients with femoral shaft fractures who are <6 months of age?,Pavlik harness,,peds,,thigh,femoral shaft,,,,,,,
What are the two most common treatment modalities for femoral shaft fractures in patients who are 6 months to 5 years of age?,Spica casting Flexible nails,,peds,,thigh,femoral shaft,,,,,,,
What are the contraindications (3) for using flexible nails to treat pediatric femoral shaft fractures?,Length unstable fractures Weight >50 kg age >11 years old,,peds,,thigh,femoral shaft,pediatric_femoral_shaft_fx,,flexible_nail,,,,
What is the recommended flexible nail size compared to canal diameter?,"Goal is 80% canal fill, 40% from each nail",Note: Nails should be the same size,peds,,thigh,femoral shaft,pediatric_femoral_shaft_fx,,flexible_nail,,,,
What starting point should be used for rigid intramedually nails when treating pediatric femoral shaft fractures?,Lateral trochanteric starting point,,peds,,thigh,femoral shaft,pediatric_femoral_shaft_fx,,imn,,,,
Why is the lateral trochanteric starting point recommended for rigid intramedullary when treating pediatric femoral shaft fractures?,Increased AVN risk with more medial starting points due to injury to the medial femoral circumflex artery,,peds,,thigh,femoral shaft,pediatric_femoral_shaft_fx,,imn,,,,
"What is the reported rate of AVN with the piriformis, greater trochanter, and lateral entry starting points when using rigid intramedually nail to treat pediatric femoral shaft fracutres?",Piriformis: 2.0% Greater trochanter: 1.4% Lateral entry: 0.0%,,peds,,thigh,femoral shaft,pediatric_femoral_shaft_fx,,imn,,,,
"Generally, half of the final leg length occurs at what age?",Girls: 3 y/o Boys: 4 y/o,,peds,,thigh,femoral shaft,,,,,,,
What radiographs should be obtained when evaluating a patient with LLD?,Full length Standing radiograph Bilateral lower extremities,,peds,,non-anatomic,,,,,,,,
What is the first line of treatment for patients with LLD of <2 cm?,Shoe lift,,peds,,foot,,lld,,,,,,
What are the two treatment categories for patients with LLD of 2-5 cm?,Shortening the long side - epiphysiodesis Lengthening the short side - distraction osteogenesis,,peds,,thigh,femoral shaft,lld,,,,,,
What two categories of implants can be used for limb lengthening?,Circular external fixator Intramedullary nail,,peds,,thigh,femoral shaft,lld,,limb_lengthening,,,,
How fast are you able to lengthen an extremity during the distraction phase?,Up to 1mm/day,,peds,,thigh,femoral shaft,lld,,,,,,
What is the name given to the new bone that is formed during LLD distraction?,Regenerate,,peds,,thigh,femoral shaft,lld,,,,,,
What is Blount's disease?,Abnormal development of the proximal posteromedial tibial physis,,peds,,leg,,blounts_disease,,,,,,
What coronal plane deformity is seen with Blount's disease?,Genu varum,,peds,,knee,,blounts_disease,,,,,,
What are the two types of Blount's disease?,"Infantile (early onset): 0-3 years old, more common, more severe Adolescent (late onset): >10 years old",,peds,,leg,tibial shaft,blounts_disease,,,,,,
What radiographic finding is seen with early onset Blount's disease?,Medial metaphyseal beaking,,peds,,leg,,blounts_disease,,,,,,
What is Drennan's angle and how do you measure it?,Metaphyseal-diaphyseal angle,Angle created by a line perpendicular to the long axis of the tibia and another line connecting the metaphyseal beak,peds,,leg,,,,,,,,
What Drennan's angle is considered pathologic?,>16°,,peds,,leg,,,,,,,,
What physical exam finding is indicative of a pathologic process rather than physiologic genu varum?,Varus thrust with ambulation indicating lateral collateral ligament insufficiency,,peds,,leg,,,,,,,,
What deformity may be seen in the distal femur in patients with Blount's?,Compensatory valgus,,peds,,thigh,distal_femur,blounts_disease,,,,,,
What fracture in kids is the equivalent to an ACL rupture in an adult?,Tibial spine fracture,,peds,,knee,,tibial_spine_fx,,,,,,
What is the classification for tibial spine fractures?,Meyers and McKeever Classification,"Type I: Nondisplaced Type II: Anterior displacement, intact posterior hinge Type III: Completely displaced Type IV: Displaced and comminuted",peds,,knee,,tibial_spine_fx,,,,,,
What two structures commonly block the reduction of a tibial spine fracture?,Anterior horn of the medial meniscus Intermeniscal ligament,,peds,,knee,,tibial_spine_fx,,,,,,
What are the classifications (2) for tibial tubercle fractures?,Ogden Classification Pandya Classification,Ogden -Type I: Anterior fracture through tubercle apophysis -Type II: Through apophysis extending between apophysis and epiphysis -Type III: Through apophysis and epiphysis -Type IV: Extends across the entire proximal tibial physis -Type V: Periosteal sleeve avulsion   Pandya -Type A: Tubercle youth - ossified at tip -Type B: Physeal - epiphysis and tibial tubercle fracture as a unit off of the metaphysis; extra-articular -Type C: Intra-articular -Type D: Tubercle Teen - fracture to the distal aspect of the tubercle,peds,,leg,proximal_tibia,tibial_tubercle_fx,,,,,,
What devastating complication can occur following tibial tubercle fractures?,Compartment syndrome,,peds,,leg,proximal_tibia,tibial_tubercle_fx,,,,,,
Which Pandya type fracture has the highest risk of compartment syndrome?,Type B,Pandya Classification -Type A: Tubercle youth - ossified at tip -Type B: Physeal - epiphysis and tibial tubercle fracture as a unit off of the metaphysis; extra-articular -Type C: Intra-articular -Type D: Tubercle Teen - fracture to the distal aspect of the tubercle,peds,,leg,,tibial_tubercle_fx,,,,,,
What artery is thought to be responsible for compartment syndrome following tibial tubercle fractures?,Recurrent anterior tibial artery,,peds,,leg,,tibial_tubercle_fx,,,,,,
What deformity results from growth arrest of the tibial tubercle?,Recurvatum,,peds,,leg,,tibial_tubercle_fx,,,,,,
What is Cozen's phenomenon?,Development of a late valgus deformity following proximal tibial metaphyseal fracture,,peds,,leg,,proximal_tibial_metaphyseal_fx,,,,,,
What types of tibial bowing are present in the pediatric population?,Anterolateral Anteromedial Posteromedial,,peds,,leg,tibial shaft,,,,,,,
"Based on x-ray, how do you name tibial bowing?",Named for the apex of the bow,,peds,,leg,tibial shaft,,,,,,,
"""What conditions/characteristics are associated with each type of tibial bowing?","Anterolateral (""""Bad Bowing""""): Neurofibromatosis Type I, pseudoarthrosis Anteromedial: Fibular hemimelia Posteromedial (""""Good Bowing""""): Physiologic, calcaneovalgus foot, leg length discrepancy""",Remember: PosteroMedial = Probably Mild   Fibular hemimelia: Born without femur,peds,,leg,tibial shaft,,,,,,,
What is the classification system for pediatric ankle fractures?,Dias and Tachdjian,"Supination Inversion: SH 1 fibula, SH 4 tibia Supination Plantarflexion: SH 2 posterior tibia Supination-External Rotation: Metaphyseal tibia and fibula Pronation/Eversion-External Rotation: Suprasyndesmotic fibula fracture, SH 2 tibia",peds,,ankle,,pediatric_ankle_fx,,,,,,
What is a Tillaux fracture?,SH 3 of the anterolateral distal tibia,,peds,,ankle,,tillaux_fx,,,,,,
What ligamentous structure is attached to the Tillaux fragment?,Anterior Inferior Tibiofibular Ligament,,peds,,ankle,,tillaux_fx,,,,,,
Why does the Tillaux fracture occur in the location that it does?,Last portion of the distal tibial physis to close,Remember: closes central to medial to lateral!,peds,,ankle,,tillaux_fx,,,,,,
What is the reduction maneuver for a Tillaux fragment?,Plantarflexion and internal rotation,,peds,,ankle,,tillaux_fx,,,,,,
What is a triplane fracture?,"Complex SH IV injury with fractures in three planes (axial, coronal, sagittal)",,peds,,ankle,,triplane_fx,,,,,,
"With a triplane fracture, what fracture patterns are seen on the AP and lateral x-rays?",AP: SH III (sagittal plane) Lateral: SH II (coronal plane),,peds,,ankle,,triplane_fx,,,,,,
What type of mechanism typically leads to Triplane and Tillaux fractures?,External rotation force,,peds,,ankle,,triplane_fx,tillaux_fx,,,,,
What is the largest sesamoid bone in the body?,Patella,,sports,,knee,,,,,,,,
The predominant blood supply to the patella enters the bone from which anatomic direction?,Inferomedial patella,,sports,,knee,,,,,,,,
Which patellar facet is larger?,Lateral,,sports,,knee,,,,,,,,
A Baker's cyst most commonly occurs between which two muscles?,Medial head of the Gastrocnemius Semimembranosus,,sports,,knee,,,,,,,,
"""Which meniscus is """"C-shaped"""" and which is circular?","Medial meniscus - C shaped Lateral meniscus - circular""",,sports,,knee,,,,,,,,
What are the vascular zones of the meniscus from peripheral to central?,Red-Red Red-White White-White,,sports,,knee,,,,,,,,
Which group of ligaments connect the meniscus to the tibial plateau?,Coronary ligaments,,sports,,knee,,,,,,,,
Which group of ligaments connect the lateral meniscus to the PCL?,Meniscofemoral ligaments,,sports,,knee,,,,,,,,
What are the two meniscofemoral ligaments?,Ligament of Humphrey Ligament of Wrisberg,,sports,,knee,,,,,,,,
What is the relationship of the meniscofemoral ligaments to the PCL?,Ligament of Humphrey - anterior::anterior/posterior to the PCL Ligament of Wrisberg - posterior::anterior/posterior to the PCL,,sports,,knee,,,,,,,,
What is the primary restraint to anterior translation in an ACL-deficient knee?,Posterior horn of the medial meniscus,,sports,,knee,,,,,,,,
What are the bundles of the ACL?,Anteromedial Posterolateral,,sports,,knee,,,,,,,,
What bony landmark separates the bundles of the ACL?,Bifurcate ridge,,sports,,knee,,,,,,,,
"""What anatomic structure is referred to as """"Resident's Ridge""""?","Intercondular ridge""",,sports,,knee,,,,,,,,
What is the primary blood supply to the ACL?,Middle geniculate artery,,sports,,knee,,,,,,,,
What is the name of the tissue seen directly anterior to the ACL on arthroscopy?,Ligamentum mucosum,,sports,,knee,,,,,,,,
What are the bundles of the PCL?,Anterolateral Posteromedial,,sports,,knee,,,,,,,,
Is the medial or lateral tibial plateau more distal?,Medial tibial plateau,,sports,,knee,,,,,,,,
Is the medial or lateral tibial plateau more concave?,Medial tibial plateau,,sports,,knee,,,,,,,,
"From proximal to distal, what tendons make up the pes anserine?",Sartorius Gracilis SemiTendinosus,Remember: Say Grace before Tea,sports,,knee,,,,,,,,
What are the layers of the lateral knee?,"Layer 1: IT band, Biceps femoris Layer 2: Patella retinaculum, Patellofemoral ligament Layer 3: -Superficial: LCL, Fibular collateral ligament, Anterior lateral ligament -Deep: Arcuate ligament, Coronary ligament, Popliteus tendon, Popliteofibular ligament",,sports,,knee,,,,,,,,
What structure runs between layers 1 and 2 on the lateral knee?,Common peroneal nerve,,sports,,knee,,,,,,,,
What structure runs between the superficial and deep portions of layer 3 on the lateral knee?,Lateral geniculate artery,,sports,,knee,,,,,,,,
What tendon is visualized intraarticularly in the lateral knee?,Popliteus,,sports,,knee,,,,,,,,
What is the function of the popliteus muscle?,Internally rotates the tibia,,sports,,knee,,,,,,,,
What is the relationship between the origins of the LCL and popliteus on the distal femur?,Popliteus originates anterior and distal to the LCL,,sports,,knee,,,,,,,,
What are the three main stabilizers of the posterolateral corner?,LCL Popliteus tendon Popliteofibular ligament,,sports,,knee,,,,,,,,
What three structures attach to the fibular head?,From anterior to posterior: LCL Popliteofibular ligament Biceps femoris,,sports,,knee,,,,,,,,
What are the layers of the medial knee?,"Layer 1: Sartorius, Patellar retinaculum Layer 2: Semimembranosus, Superficial MCL, Medial Patellofemoral Ligament (MPFL), Posterior oblique ligament Layer 3: Deep MCL, Coronary ligaments",,sports,,knee,,,,,,,,
What structures (3) run between layers 1 and 2 on the medial knee?,"Gracilis, Semitendinosus, Saphenous Nerve",,sports,,knee,,,,,,,,
What is the primary restraint to valgus stress of the knee?,Superficial MCL,,sports,,knee,,,,,,,,
What is a bipartitie patella?,Failure of the superolateral corner of the patella to fuse,,sports,,knee,,,,,,,,
What muscle is deep to the vastus intermedius and is commonly encountered during anterior femoral exposure for TKA?,Articularis genus,,sports,,knee,,,,,,,,
What is the function of the articularis genus muscle?,Pulls the suprapatellar bursa superiorly with knee extension,,sports,,knee,,,,,,,,
