question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
The median nerve is a branch of what brachial plexus cords? What nerve roots?,medial and lateral cords   C5-T1,,hand,,hand,,,,,,,
What does the median nerve accompany in the arm? How many branches in the arm does it have?,Median nerve accompanies the brachial artery   It has no branches in the arm,,shoulderelbow,,forearm,,,,,,,
The palmar cutaneous branch of the median nerve arises where? What does it pass superficial to? What does it innervate?,Arises 6cm proximal to the radial styloid   Passes superficial to the flexor retinaculum   Innervates the thenar skin,,hand,,wrist,,,,,,,
"In the carpal tunnel, the median nerve runs in between what?",FDS and FCR (FCR is outside of carpal tunnel),,hand,,wrist,,,,,,,
The ulnar nerve is a branch of what brachial plexus cords? What nerve roots?,"Medial cord   C8, T1",,hand,,forearm,,,,,,,
Where is the ulnar nerve in relation to the brachial artery in the upper arm? Where does it pass posterior to the medial intermuscular septum?,Ulnar nerve runs posteromedial to the brachial artery in upper arm   Passes posterior to the medial intermuscular septum at the arcade of struthers (8-10cm from the medial epicondyle),,shoulderelbow,,shoulder,,,,,,,
What is the path of the deep motor branch of the ulnar nerve at the hand?,"The deep motor branch of the ulnar nerve travels around the hook of the hamate, between the abductor digiti minimi and flexor digiti minimi brevis, providing motor innervation to the intrinsic muscles of the hand.",,hand,,hand,,,,,,,
What are the zones of Guyon canal compression? What are the symptoms (motor or sensory) and common causes?,"Zone 1: --Proximal to ulnar nerve bifurcation --Mixed motor and sensory --Ganglion cyst, hook of hamate fracture   Zone 2:  --Deep motor branch of ulnar nerve --Motor only --Ganglion cyst, hook of hamate fracture   Zone 3: --Superficial sensory branch of ulnar nerve --Sensory only --Ulnar artery thrombosis/aneurysm",,hand,,wrist,,,,,,,
What is the leash of Henry?,Recurrent radial artery vessels,,hand,,forearm,,,,,,,
What is the arcade of Frohse?,Proximal edge of the superficial head of the supinator,,shoulderelbow,,forearm,,,,,,,
What is Wartenberg syndrome?,"Compression of the superficial branch of the radial nerve   Causes paresthesias over dosroradial hand, symptoms at rest   Compression occurs between brachioradialis and ECRL (6-9cm proximal to radial syloid)",,hand,,forearm,,,,,,,
What does the radial artery run inbetween proximally and distally?,Proximal--runs on pronator teres deep to brachioradialis   Distal--enters wrist between brachioradialis and FCR,,hand,,forearm,,,,,,,
What does the ulnar artery run inbetween proximally and distally?,Proximal--between FDS and FDP   Distal--between FCU and FDS,,hand,,forearm,,,,,,,
What artery forms the deep palmar arch of the hand?,radial artery,,hand,,hand,,,,,,,
What artery forms the superficial palmar arch?,ulnar artery,,hand,,hand,,,,,,,
What is the interval used in the deltopectoral approach? What structures are at risk?,Interval: --Deltoid (Axillary nerve) --Pec major (medial/lateral pectoral nerves)   Risks: --Axillary nerve --musculocutaneous nerve,,shoulderelbow,,shoulder,,,,,,,
What is at risk in the lateral (deltoid-splitting) approach to the shoulder? Where?,Axillary nerve   5-7cm distal to acromion it courses posterior-anterior around shoulder in deep fascia of deltoid,,shoulderelbow,,shoulder,,,,,,,
What is the interval used in the posterior approach to the shoulder? What is at risk?,Interval: --Infraspinatus (suprascapular nerve) --teres minor (axillary nerve)   Risk: --Quadrangular space (axillary nerve and posterior humeral circumflex artery) --Suprascapular nerve,,shoulderelbow,,shoulder,,,,,,,
"What is the interval used in the anterolateral approach to the humerus proximally, midhumerus, and distally? What is at risk?",Proximal: --Deltoid (axillary nerve) --Pec major (medial/lateral pectoral nerves)   Midhumerus: --Between fibers of brachials (radial and musculcutaneous nerves   Distal: --Brachials (radial & musculocutaneous nerve) --Brachioradialis (radial nerve)   Risks: --Radial and axillary nerve --LABCN distally,,shoulderelbow,,shoulder,,,,,,,
What is the interval in the posterior approach to the humerus? What is at risk?,"No interval, triceps-splitting   Risks: Radial nerve (must identify) Ulnar nerve Axillary nerve",,shoulderelbow,,shoulder,,,,,,,
What is the interval used in the anterior approach to the antecubital fossa?,"biceps, brachioradialis, pronator teres",,shoulderelbow,,elbow,,,,,,,
What is the Hotchkiss approach? What is the interval? What is at risk?,Medial approach to the elbow.   Proximal interval: --brachialis (musculocutaneous nerve) --Triceps (Radial nerve)   Distal interval --brachials --pronator teres (median nerve)   Risks: --Medial antebrachial cutaneous nerves --Ulnar nerve,,shoulderelbow,,elbow,,,,,,,
What is the Kaplan approach? What is the interval? What is at risk?,Lateral approach to the elbow   Interval: --ECRB (radial/PIN) --EDC (PIN)   Risks: --PIN --LUCL,,shoulderelbow,,elbow,,,,,,,
What is the Kocher approach? Interval? Risks?,Posterolateral approach to the elbow   Interval: --anconeus (radial nerve) --ECU (PIN)   Risks: --PIN,,shoulderelbow,,elbow,,,,,,,
What is the Henry approach? Interval? Risks?,Anterior approach to the forearm   Interval: --brachioradialis (radial nerve) --pronator teres proximally (median nn) --FCR distally (median nn)   Risks: --SBRN --Radial artery --PIN,,hand,,forearm,,,,,,,
What is the Thompson approach? Interval? Risk?,Posterior approach to the forearm   Interval: -ECRB (radial nerve/PIN -EDC proximally (PIN) -EPL distally (PIN)   Risks: --PIN,,hand,,forearm,,,,,,,
What are the forearm compartments?,Volar Dorsal Mobile Wad,,hand,,forearm,,,,,,,
How many hand compartments are there? What are they?,10   --Hypothenar --Thenar --Adductor pollicis --Dorsal interosseous (4) --Volar interosseous (3),,hand,,hand,,,,,,,
What originates at the ASIS?,_Ðsartorius Ðtranserse & internal abdominal muscles,,sports,,pelvis,,,,,,,
What originates at the AIIS?,_Ðdirect head of rectus femoris ÐIliofemoral ligament,,sports,,hip,,,,,,,
What can occur of the quadratus femoris is completely transected during an adult posterior hip approach?,damage to medial femoral circumflex artery,,trauma,,hip,,,,,,,
What is the femoral neck version?,Anteverted 14 degrees in relation to femoral condyles,,recon,,hip,,,,,,,
What is the average femoral neck shaft angle?,127 degrees,,recon,,hip,,,,,,,
"What is the Origin, insertion, innervation for rectus femoris?","Rectus femoris --origin: AIIS, and acetabulum --Insertion: patella --Innervation: Femoral",,sports,,pelvis,,,,,,,
What is the innervation of the short and long heads of the biceps femoris?,Sciatic nerve divisions  Long head--tibial nerve   Short head--peroneal nerve,,sports,,leg,,,,,,,
Which femoral condyle is larger?,Medial,,recon,,non-anatomic,,,,,,,
What is Gerdy tubercle?,attachment point of iliotibial tract on lateral side of proximal tibia,,sports,,leg,,,,,,,
What attaches to the fibular head (3)?,_ÐLCL Ðbiceps femoris insertion ÐPoliteofibular ligament (attaches to styloid process),,sports,,knee,,,,,,,
Which meniscus tears most commonly? What must be protected when repairing it?,Medial meniscus 3x more than lateral   Protect saphenous nerve,,sports,,knee,,,,,,,
Which meniscus tears most commonly in conjunction with ACL tears? What must be protected during its repair?,Lateral meniscus   Protect peroneal nerve,,sports,,knee,,,,,,,
What are the attachments and the function of the medial patellofemoral ligament?,Proximal attachment--Schottle point (between adductor tubercle and medial femoral epicondyle)   Distal attachment--superomedial patella   Function--resists lateral translation of the patella,,sports,,knee,,,,,,,
Where is Schottle's point located?,Between the adductor tubercle and the medial femoral epicondyle.,,recon,,thigh,,,,,,,
The superficial MCL attached how far distal to the joint?,5-7cm,,sports,,elbow,,,,,,,
The posterior oblique ligament of the knee resists internal rotation with the knee in what position?,Full extension,,sports,,knee,,,,,,,
"Which bones are in the hindfoot, midfoot, and forefoot?","Hindfoot--talus and calcaneus   Midfoot--navicular, cuboid, and 3 cuneiforms   Forefoot--metatarsal and phalanges",,footankle,,foot,,,,,,,
"If present, an os trigonum is where in relation to the FHL?","FHL runs in a groove posteriorly in the talus, Os trigonum is lateral to FHL here",,footankle,,ankle,,,,,,,
How many articulations are there between the calcaneus and talus? What are they?,3   Large posterior facet Anterior facet Middle facet,,footankle,,ankle,,,,,,,
WHat is the sustentaculum tali? What does it do?,Overhanging horizontal eminence on the anteromedial surface of the calcaneus   Has an inferior groove for FHL Supports the middle artiular surface above it.,,footankle,,ankle,,,,,,,
The cuboid is grooved on the pantar surface by what tendon?,Peroneus longus,,footankle,,foot,,,,,,,
The navicular has a medial plantar projection which serves as the insertion for what tendon?,Posterior tibial tendon,,footankle,,foot,,,,,,,
The 1st metatarsal has a plantar crista that articulates with what?,Fibular and tibial sesamoids,,footankle,,foot,midfoot,,,,,,
What are the fibular and tibial sesamoids contained within?,Flexor hallucis brevis tendon,,footankle,,foot,,,,,,,
Bony avulsion of the anteroinferior tibiofibular ligament (AITFL) in adolescents may result in what fracture?,Tillaux fracture,,trauma,peds,ankle,,tillaux_fracture,,,,,
What are the the layers of the deltoid ligament of the ankle? What do they contain? What joints do they cross?,Superficial layer --tibionavicular and tibiocalcaneal ligaments --Cross ankle and subtalar joint   Deep layer ---anterior and posterior tibiotalar ligaments --cross ankle joint only,,footankle,,ankle,,,,,,,
Which lateral ankle ligament is the weakest and commonly injured with a lateral ankle sprain?,The ATFL (anterior talofibular ligament) is the most commonly injured ligament in a lateral ankle sprain.,,footankle,,ankle,,,,,,,
"Where, specifically, does interdigital neuritis (Morton neuroma) occur?","At the point where the digital nerve courses in a plantar direction under the transverse metatarsal ligament, usually in the 2nd or 3rd interdigital space.   Transvere metatarsal ligaments interconnect the metatarsal heads.",,footankle,,foot,forefoot,,,,,,
What is the primary stabilizing struction of the metatarsophalangeal joints?,The plantar plate,,footankle,,foot,forefoot,,,,,,
What 4 tendons cross the anterior ankle joint from lateral to medial?,peroneus tertius extensor digitorum longus extensor hallucis longus tibialis anterior,,footankle,,ankle,,,,,,,
What two tendons cross the lateral ankle joint and what is their orientation?,The two tendons that cross the lateral ankle joint are the peroneus longus (superficial) and peroneus brevis (deep).,,footankle,,ankle,,,,,,,
What is the only dorsal intrinsic muscle of the foot? What innervates it?,extensor digitorum brevis   Innervated by the lateral terminal branch of the deep peroneal nerve,,footankle,,foot,,,,,,,
The nerves of the lower extremity arise from what?,the lumbosacral plexus,,spine,,lumbar spine,,,,,,,
The lumbar plexus is formed by the ventral rami of which levels?,T12-L4,,spine,,lumbar spine,,,,,,,
"Where, anatomically, is the lumbar plexus found?","Anterior surface of quadratus lumborum, under (and within) the psoas major muscle.",,spine,,lumbar spine,,,,,,,
What is the course of the genitofemoral nerve in relation to the psoas muscle?,The genitofemoral nerve pierces the psoas muscle and then lies on the anteromedial surface of the psoas.,,basicscience,,pelvis,,,,,,,
The ventral rami of which levels form the sacral plexus?,L4-S3,,spine,,lumbar spine,,,,,,,
"Where, anatomically, is the sacral plexus found?",Posterior to the psoas muscle?,,spine,,lumbar spine,,,,,,,
Which nerve root is at risk with anteriorly placed sacroiliac screws?,L5 nerve root   Runs on anterior sacrum,,spine,,spine,,,,,,,
The superior and inferior gluteal nerves and vessels are named in relation to what?,"The piriformis   superior exits above muscle, inferior below",,basicscience,,pelvis,,,,,,,
What is meralgia paresthetica?,Lateral femoral cutaneous nerve compression,,footankle,,ankle,,,,,,,
What structures make the borders and floor of the femoral triangle? What structures are contained within?,"Borders: --sartorius (lateral) --pectineus (medial) --inguinal ligament (superior)   Floor: (lateral to medial) --iliacus, psoas, pectineus, adductor longus   Structures: (lateral to medial) NAVaL --femoral Nerve, Artery, Ven, and Lymphatics",,recon,,non-anatomic,,,,,,,
Pain from the hip is referred to the knee via  which nerve?,Obturator nerve   Has anterior division which delivers cutaneous branches to the medial thigh,,recon,,hip,,,,,,,
What is the course of the sciatic nerve as it passes and exits the piriformis muscle?,The sciatic nerve typically passes anterior to the piriformis muscle and posterior to the obturator internus and short external rotators.,,spine,,pelvis,,,,,,,
What are the divisions of the sciatic nerve? Which is more lateral making it more vulnerable to what?,"Peroneal and tibial divisions   Peroneal division is more lateral, making it more susceptible to iatrogenic injury (most common nerve injury during THA)",,recon,,hip,,,,,,,
Which divisions of the sciatic nerve nerve supply which muscles in the posterior compartment of the thigh?,Tibial divisions supplies all posterior thigh musculature except short head of biceps femoris (peroneal division),,footankle,,ankle,,,,,,,
All sensation in the foot is supplied by terminal branches of what? Except for?,sciatic nerve   except medial foot (saphenous nerve--branch of femoral nerve),,footankle,,foot,,,,,,,
The tibial nerve supplies what muscle innervation?,All muscles of the superficial and deep posterior compartments   All intrinsic foot muscles except EDB (deep peroneal nerve),,footankle,,leg,,,,,,,
The posterior tibial nerve splits into what 2 branches under the flexor retinaculum? What do they innervate?,"Medial and lateral plantar nerves   Medial plantar nerve: --Plantar sensation to medial 3 1/2 digits --Motor to FHB, abductor hallcus, FDB, 1st lumbrical   Lateral plantar nerve: --Plantar sensation to lateral 1 1/2 digits --Motor to remaining intrinsic muscles of the foot",,footankle,,foot,,,,,,,
What is the course of the common peroneal nerve?,"The common peroneal nerve branches off from the sciatic nerve, travels laterally through the lateral popliteal fossa deep to the biceps femoris tendon, winds around the fibular neck, and then runs deep to the peroneus longus muscle where it divides into superficial and deep branches.",,footankle,,leg,,,,,,,
The superficial peroneal nerve runs where? Supplying what muscular branches?,Runs along border between lateral and anterior compartments in the leg   Supplies muscle branches to the lateral compartment (peroneus longus and brevis),,footankle,,leg,,,,,,,
The superficial peroneal nerve terminates with what 2 branches? Which is at risk for injury during placement of the anterolateral ankle arthroscopy portal?,Medial dorsal and intermediate dorsal cutaneous nerves   Dorsal intermediate at risk,,footankle,,leg,,,,,,,
The deep peroneal nerve runs where in the leg? Supplying what musculature?,"Runs along the anterior surface of the interosseous membrane.   Supplies the anterior compartment (TA, EHL, EDL, peroneus tertius)",,footankle,,leg,,,,,,,
What supplies sensation to the first webspace of the foot?,Medial terminal branch of the deep peroneal nerve,,footankle,,foot,,,,,,,
The sural nerve is formed by what?,Cutaneous branches of both the tibial (medial sural cutaneous) and common peroneal (lateral sural cutaneous) nerves.,,footankle,,ankle,,,,,,,
What are the 4 important branches of the internal iliac artery?,"The 4 important branches of the internal iliac artery are: obturator, superior gluteal, inferior gluteal, and internal pudendal.",,recon,,pelvis,,,,,,,
What artery can be injured by placement of acetabular screws in the anterosuperior quadrant during THA?,Femoral artery,,recon,,pelvis,,,,,,,
The femoral artery branches into what? What do they supply?,Superficial femoral artery--supplies leg and foot   Profunda femoris--supplies musculature of thigh,,trauma,,thigh,,,,,,,
What are the boundaries of the adductor (Hunter) canal? What are its contents?,Anteromedial wall--sartorius   Posterior wall--adducto longus and magnus   Lateral wall--vastus medialis   Contains superficial femoral artery and femoral vein,,recon,,thigh,,,,,,,
What are the key branches of the profunda femoris artery?,Ð_lateral femoral circumflex   Ðmedial femoral circumflex   Ðdeep perforators,,recon,,thigh,,,,,,,
What artery is at risk during anterolateral approaches to the hip?,Ascending branch of the lateral femoral circumflex artery,,recon,,hip,,,,,,,
What is the course of the medial femoral circumflex artery?,"The artery runs between the pectineus and iliopsoas muscles, proceeding distally anterior to the quadratus femoris on its cranial edge just distal to the obturator externus.",,recon,,hip,,,,,,,
The popliteal artery enters the popliteal fossa between what muscles? Between what does it terminate and what does it divide into?,Enters popliteal fossa between biceps femoris and semimembranosus   Terminates between medial and lateral head of gastroc   Divids into anterior and posterior tibial arteries,,trauma,,knee,,,,,,,
The anterior tibial artery runs between what muscles?,Runs on anterior surface of interosseous membrane between tibialis anterior and EHL,,trauma,,ankle,,,,,,,
The anterior tibial artery terminates as what?,The dorsalis pedis,,footankle,trauma,ankle,,,,,,,
The posterior tibial artery runs in what compartment of the leg? Terminates as what?,Runs in deep posterior compartment   Divides into medial and lateral plantar arteries,,footankle,trauma,ankle,,,,,,,
What is the main branch of the posterior tibial artery? Where does it run? What does it terminate as?,Peroneal artery   Given off 2.5cm distal to popliteal fossa. Continues in the deep posterior compartment lateral to its parent artery between tibialis posterior and FHL   Terminates in the calcaneal branches,,footankle,trauma,ankle,,,,,,,
What is at risk in an anterior iliac crest bone grafter?,Lateral femor cutaneous nerve   runs medial to ASIS,,trauma,spine,pelvis,,,,,,,
What is at risk in posterior iliac crest bone graft?,superior cluneal nerves    8cm lateral to PSIS,,recon,,pelvis,,,,,,,
The ilioinguinal approach to the acetabulum gives access to what? It relies on mobilization of what?,"Iliac fossa from pubic symphysis to sacroiliac joint, anterior column of acetabulum Relies on mobilization of rectus abdominus and iliacus",,trauma,,pelvis,,,,,,,
"In the ilioinguinal approach, the second (middle) window is between what? What does it provide access to?",Between the iliopectineal fascia and the external iliac vessels   Provides access to the pelvic brim from the anterior SI joint the the lateral portion of the superior pubic ramus,,trauma,,pelvis,,,,,,,
"In the ilioinguinal approach, the third (medial) window is between what? What does it provide access to?",Between the external iliac vessels and the spermatic cord   Gives access to the pubic symphysis,,trauma,,pelvis,,,,,,,
What is the Smith-Peterson approach to the hip? Interval? Risks?,"Anterior approach to the hip   Superficial interval: sartorius and TFL Deep interval: rectus femoris and gluteus medius (femoral nerve and superior gluteal nerves)   Risks: --LFCN, 6-8cm below ASIS --Lateral femoral circumflex artery (ascending branch ligated in approach, deep branch at risk) --Superficial iliac circumflex artery, penetrates TFL anter to LFCN --Femoral never and artery, injured with excessive medial retraction of the sartorius",,recon,,hip,,,,,,,
What is the Watson-Jones approach to the hip? Interval? Risks?,"Anterolateral approach to the hip   Interval: TFL and gluteus medius (intermuscular plane, not internervous)   Risks:  --Femoral nerve and artery (excessive medial retraction) --Superior gluteal nerve (5cm above acetabular rim) --Lateral femoral circumflex artery",,recon,,hip,,,,,,,
What is the Hardinge approach to the hip? Interval? Risks?,Lateral approach to the hip   Involves splitting of gluteus medius and vastus lateral in tandem   Risks: --Superior gluteal nerve (may damage if gluteus medius split too proximal (>5cm above greater trochanter) --LFCN,,recon,,hip,,,,,,,
What is the Moore or Southern approach to the hip? Interval? Risks?,"Posterior approach to the hip, distal extension of the Kocher-Langenbeck   Involves splitting gluteus maximus and releasing short external rotators   Risks: --Sciatic nerve --Inferior gluteal artery --Medial femoral circumflex artery (injured during takedown of the external rotators)",,recon,,thigh,,,,,,,
What is the Ludloff approach to the hip? Common use? Interval? Risks?,"Medial approach to the hip   Used for open reduction of congenital hip dislocation, psoas release   Interval: Adductor longus and gracilis   Risks: --Obturator nerve and medial femoral circumflex arteries are between adductor brevis and adductor magnus/pectineus --Deep external pudendal artery",,recon,,hip,,,,,,,
What is the interval in the medial approach to the knee? What are its 3 layers? Risks?,Interval: sartorius and medial patellar retinaculum   Layers from superfical to deep: 1. pes anserinus tendons 2. superfical MCL 3. deep MCL and capsule   Risks --saphenous nerve --MCL,,recon,,knee,,,,,,,
What is the interval in the lateral approach to the knee? Risks?,Either split the IT band or approach between IT band and biceps femoris   Risks:  --Common peroneal nerve --LCL & popliteus tendon --Superior and inferior lateral geniculate arteries,,sports,,knee,,,,,,,
What is the interval in the anterior approach to the ankle? Risks?,"Interval --EHL --EDL or tibialis anterior   Risks --deep peroneal nerve --anterior tibial artery (both lie directly in interval, retract medially along with EHL)",,footankle,,ankle,,,,,,,
What are the risks in the posterior and anterior approachs to the medial malleolus?,"Posterior approach: (through tendon sheath of posterior tibialis) --posterior tibia tendon, FDL, posterior tibial artery/nerve/vein, FHL   Anterior approach: --saphenous nerve and long saphenous vein",,footankle,,ankle,,,,,,,
Describe the posteromedial approach to the ankle. What is it commonly used for? Risks?,Begin roughly midway between achilles tendon and medial malleolus Incise the fascial flap covering the remainder of the flexor tendons Identify FHL (the only muscle that still has fibers at this level) Decide if you need to go medial or lateral to FHL   Commonly used for release in clubfoot in children   Risks: --Posterior tibial nerve and artery,,footankle,,ankle,,,,,,,
What is at risk in the lateral approach to the ankle?,Direct dissection over fibula   sural nerve and superficial peroneal nerve at risk,,footankle,,ankle,,,,,,,
What is the interval in the posterolateral approach to the ankle? Risks?,Interval: --Peroneus brevis --FHL   Risks --lesser saphenous vein and sural nerve,,footankle,,ankle,,,,,,,
What are the normal curves of the spine segments?,Cervical lordosis Thoracic kyphosis Lumbar lordosis Sacral kyphosis,,spine,,spine,,,,,,,
Clearance of what is recommended for rheumatoid patients undergoing elective orthopaedic procedures? Why?,Cervical spine clearance   Common atlantoaxial joint instability due to pannus invagination,,spine,,cervical spine,,,,,,,
Lumbar lordosis is what angle? Where is the apex? Where does 66% of the lordosis occur?,Lumbar lordosis ranges from 55 to 60 degrees   Apex at L3   66% of lordosis occurs in region from L4 to sacrum,,spine,,lumbar spine,,,,,,,
What is spondylolysis?,Defect of pars interarticularis   Most common cause of back pain in children and adolescents,,peds,spine,lumbar spine,,spondylolysis,,,,,
Describe the shape of the posterior longitudinal ligament in the spine? Where do ruptured discs typically occur in relation the PLL?,Hourglass shaped --wider (yet thinner) sections located over the discs   Ruptured discs tend to be lateral to these expansions,,spine,,lumbar spine,,,,,,,
What is the course of the ligamentum flavum?,The ligamentum flavum runs from the anterior surface of the superior lamina to the posterior surface of the inferior lamina. It is constantly under tension.,,spine,,lumbar spine,,,,,,,
Unstable vertical shear pelvic fractures can lead to avulsion fractures of what? Via what ligament?,L5 tranverse process   Iliolumbar ligament --conect ilium to L5 transverse process,,trauma,,pelvis,,,,,,,
How does the bulbocavernosus reflex relate to the prognosis of incomplete spinal cord injury?,Prognosis of incomplete spinal cord injury is unaffected by the presence or absence of the bulbocavernosus reflex,,spine,,spine,,,,,,,
What are the contents of the carotid sheath?,"The carotid sheath contains the internal carotid artery (medial), common carotid artery (medial), internal jugular vein (lateral), and cranial nerve X (vagus nerve) (posterior).",,spine,,cervical spine,,,,,,,
What is the Artery of Adamkiewicz? i.e. where is it and what does it do?,Great anterior medullary artery   Enters through the left intervertebral foramen in the lower thoracic spine from T8-T12.   Supplies the interior 2/3 of the anterior cord,,spine,,thoracic spine,,,,,,,
What is Erb-Duchenne palsy and how is it characterized?,"Erb-Duchenne palsy, also known as a brachial plexus injury involving the C5 and C6 nerve roots, is characterized by a 'waiter's tip deformity' which includes shoulder adduction and internal rotation, elbow extension, forearm pronation, and wrist and finger flexion.",,peds,,shoulder,,,,,,,
What is Klumpke palsy and which nerve roots are involved?,Klumpke palsy involves the C8 and T1 nerve roots.,,hand,,hand,,,,,,,
"In brachial plexus palsy, children with significant internal rotation contracture are at risk for what?",70% of children will develop progressive glenoid dysplasia,,shoulderelbow,,shoulder,,,,,,,
Poor prognosis in brachial plexus palsy in children is associated with what 2 clinical findings?,Lack of biceps function 6 months after injury   Horner syndrome,,peds,,shoulder,,,,,,,
"In Erb's Palsy in children, what procedure can be done to address shoulder internal rotation?",L'episcopo--transfer of teres major to external rotators   modified L'episcopo--addition of latissumus transfer to external rotators,,peds,,shoulder,,,,,,,
In-toeing is usually attributable to what in infants? toddlers? children <10 years?,Infants--metatarsus adducts   toddlers--internal tibial torsion   children <10 years--femoral anteversion,,peds,,leg,,,,,,,
What is metatarsus adductus?,Inward deviation of lateral board of foot from base of 4th metatarsal,,footankle,,foot,,,,,,,
What is internal tibial torsion? What angle is used to measure it?,An internal twisting of the tibia   Thigh-foot angle of -10 or more,,peds,,leg,,,,,,,
What is femoral anteversion in the setting in-toeing?,Increased anteversion of the femoral neck relative to the femur   Compensatory internal rotation of the femur   Lower extremity intoeing,,peds,,hip,,,,,,,
What typically causes out-toeing in infants? Children and adolescents?,Infants--external rotation hip contracture   Children and Adolescents--external tibial/femoral torsion,,peds,,non-anatomic,,,,,,,
How can you estimate leg length discrepancy in children?,Assume the following growth per year up to age 16 in boys and 14 in girls   Proximal femur--3mm Distal femur--9mm Proximal tibia--6mm Distal tibia--5mm,,peds,,non-anatomic,,,,,,,
Leg length discrepancy of 2-5cm in children with open physes has what treatment options?,_Ðepiphysiodesis of the long side Ðshortening of the long side (ostectomy) ÐLengthening of the short side,,peds,,non-anatomic,,,,,,,
"In children with open physes, leg length discrepancies of more than 5cm are generally treated with what?",Lengthening of the short side,,peds,,thigh,,,,,,,
What are the 4 risk factors for developmental dysplasia of the hip?,"The 4 risk factors for developmental dysplasia of the hip are breech positioning, positive family history, female sex, and being a firstborn child.",,peds,,hip,,developmental_dysplasia,,,,,
What are the two physical exam maneuvers used for early diagnosis of developmental dysplasia of the hip?,"The two physical exam maneuvers are Ortolani maneuver, which involves elevation and abduction of the femur to relocate the hip, and Barlow maneuver, which involves adduction and depression of the femur to dislocate a dislocatable hip.",,peds,,hip,,developmental_dysplasia,,,,,
"If early diagnosis of developmental dysplasia of the hip is missed, how does it typically present?",Limitation of hip abduction in affected hip   laxity resolves and stiffness becomes more clinically evident,,peds,,hip,,developmental_dysplasia,,,,,
What is the initial imaging study in early developmental dysplasia of the hip? At what age?,Dynamic ultrasonography   4-6 months (before ossification of femoral head),,peds,,hip,,developmental_dysplasia,,,,,
What are the radiographic signs of developmental dysplasia of the hip (3)?,--Broken shenton line --Metaphysis lateral to Perkin line --Increased acetabular index (>25 degrees),,peds,,hip,,developmental_dysplasia,,,,,
What is the treatment of developmental dysplasia of the hip from birth to 6 months? When should you check reduction and what do you do if hip reduced/not reduced?,"Pavlik harness   Check reduction with ultrasound after 3 weeks   Not reduced: rigid orthosis vs. closed reduction, arthrogram, spica casting   Reduced: continue harness until examination and ultrasound findings normal",,peds,,hip,,developmental_dysplasia,,,,,
What is the treatment of developmental dysplasia of the hip in patients ages 6-18 months?,"hip arthrography, percutaneous adductor tenotomy, closed reduction, and spica casting   If closed reduction fails, perform open reduction",,peds,,hip,,developmental_dysplasia,,,,,
What is the treatment for developmental dysplasia of the hip in patients aged 18 months to 3 years?,open reduction,,peds,,hip,,developmental_dysplasia,,,,,
What is the treatment for developmental dysplasia of the hip in patients aged 3 to 8 years?,"Osteotomy (Salter, Dega, Pemberton, or Staheli procedures)",,peds,,hip,,developmental_dysplasia,,,,,
What are the osteotomies used in treatment for developmental dysplasia of the hip and at what age?,"3-8 years: --Salter, Dega, Pemberton, or Staheli procedures   Older than 8 years: --Triradiate open: triple (Steele), double pelvic (Southerland), Staheli procedure --Triradiate closed: Ganz and Chiari procedures",,peds,,pelvis,,developmental_dysplasia,,,,,
What are two feared complications of a Pavlik harness and what causes them?,"Avascular necrosis is caused by excessive abduction, while femoral nerve palsy is caused by hyperflexion.",,peds,,thigh,,,,,,,
If attempts to reduce a hip in a Pavlick harness in 3 weeks what should be done with the harness? Why?,Discontinue harness   Prevent Pavlick disease (erosion of the pelvis superior to the acetabulum) and subsequent difficulty with closed reduction and casting,,peds,,hip,,,,,,,
"In developmental dysplasia of the hip, open reductions are typically performed through what approach?",anterior approach   (less risk to the medial femoral circumflex artery than in the medial approach),,recon,,hip,,,,,,,
What 3 criteria must be present for osteotomies to be performed in developmental dysplasia of the hip?,_Ðcongruent reduction confirmed on an abduction-internal rotation radiograph   Ðsatisfactory ROM   ÐReasonable femoral sphericity,,recon,,hip,,,,,,,
"In developmental dysplasia of the hip, which 2 osteotomies can be performed if the hip is not concentrically reduced?",_ÐChiari ÐShelf (lateral Shelf acetabular augmentation),,recon,,pelvis,,,,,,,
In what 3 pediatric conditions can congenital coxa vara be treated with observation?,_Ðbilateral arthrogryposis ÐMyelomingocele if no functional quadriceps Ðspinal muscular atrophy,,peds,,non-anatomic,,,,,,,
In what 2 pediatric conditions should congenital coxa vara be treated/operated on?,"_ÐDown syndrome Ðcerebral palsy, unless chronic",,peds,,non-anatomic,,,,,,,
What is Legg-Calve-Perthes disese (coxa plana)?,Idiopathic avascular necrosis of the proximal femoral epiphysis in children,,peds,,hip,,legg_calve_perthes_disese,,,,,
How common is bilateral involvement in Legg-Calve-Perthes disease?,"15% of cases, rarely synchronous",,peds,,hip,,legg_calve_perthes_disese,,,,,
What is the Herring lateral pillar classification?,The most prognostic classification in Legg-Calve-Perthes disease,,peds,,hip,,legg_calve_perthes_disese,,,,,
Name 3 patient characteristics associated with poor prognosis in Legg-Calve-Perthes disease?,bone age >6 female decreased hip abduction,,,,hip,,legg_calve_perthes_disese,,,,,
What is the long term result of aspherical femoral heads in Legg-Calve-Perthes disease?,Early degenerative hip disease,,recon,,hip,,legg_calve_perthes_disese,,,,,
