#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
"<b>Femoral traction pin</b> is placed from {{c1::medial}} to {{c1::lateral}} (directed away from the neurovascular bundle) at the
{{c2::adductor tubercle}}, slightly <b>proximal to the femoral epicondyle.</b>"	"<img src=""paste-369189dfc376616736d8ca462bac2da0ecd5d36f.jpg"">"										
<b>Tibial traction pin</b> is placed from {{c1::lateral}} to {{c1::medial}} to direct the pin away from the {{c2::common peroneal nerve}}.	The pin is placed 2 cm posterior and 1 cm distal to the tibial tubercle.										
"<b>Calcaneal</b> <b>traction pins </b>are used for irreducible rotational ankle fractures, some pilon fractures, and extremities with
multiple ipsilateral long bone fractures or compromised soft tissues and is placed from {{c1::medial}} to {{c1::lateral}}, directed away from the neurovascular bundle, 2 to 2.5 cm {{c3::posterior}} and {{c3::inferior}} to the {{c2::medial malleolus}}."	"about ¾ of the distance from the tip of the medial mal to the end of the calcaneus.<br><img src=""paste-56618f3170aefc324e6bfc40ed0e5141a0fc1dc3.jpg"">"										
"<span style=""color: rgb(32, 33, 36);"">A&nbsp;</span>{{c1::pilon}}&nbsp;<span style=""color: rgb(32, 33, 36);"">fracture is&nbsp;</span><b>a type of break of the distal&nbsp;tibia plateau that happens near the ankle</b><span style=""color: rgb(32, 33, 36);"">. Most of the time, it includes breaks in both the tibia and fibula of the lower leg.</span>"	"<img src=""paste-ac7c1cc743175e7d6bbd8a8f0133d3cc8e12123a.jpg"">"										
"<b><u>Acetabulum of the hip </u></b>can be divided into <b>four quadrants </b>based on a line&nbsp;<span style=""color: rgb(35, 35, 35);"">drawn from <b>ASIS through center of acetabulum</b> which splits it into&nbsp;</span>{{c1::anterior}}&nbsp;<span style=""color: rgb(35, 35, 35);"">and&nbsp;</span>{{c1::posterior}}&nbsp;<span style=""color: rgb(35, 35, 35);"">quadrants. Another perpendicular line bisects the previous line to form&nbsp;</span>{{c1::superior}}&nbsp;<span style=""color: rgb(35, 35, 35);"">and&nbsp;</span>{{c1::inferior}}&nbsp;<span style=""color: rgb(35, 35, 35);"">quadrants</span>"	"<img src=""paste-ba1b929bb6c4b7f40c327016b33921496a35d8d2.jpg"">"										OB::Recon::HipAnatomy
The {{c1::posterior superior}} portion of the <b>acetabulum </b>contains {{c2::superior gluteal}} nerve and vessels and {{c2::sciatic}} nerve. It is the {{c1::safest}} zone for screw placement	"<img src=""paste-46f6e4745ae69792a1be3dc667091b850963cf2c.jpg"">"										OB::Recon::HipAnatomy
The {{c1::posterior inferior}} portion of the <b>acetabulum&nbsp;</b>contains {{c2::inferior gluteal}} nerve and vessels and {{c2::internal pudendal}} nerve and vessels. It is the {{c1::second safest}} zone for screw placement	"<img src=""paste-46f6e4745ae69792a1be3dc667091b850963cf2c.jpg"">"										OB::Recon::HipAnatomy
The {{c1::anterior inferior}} portion of the <b>acetabulum </b>contains the {{c2::obuturator}} nerve, artery, and vein. It is {{c3::unsafe}} zone for screw placement.	"<img src=""paste-46f6e4745ae69792a1be3dc667091b850963cf2c.jpg"">"										OB::Recon::HipAnatomy
The {{c1::anterior superior}} portion of the <b>acetabulum </b>contains the {{c2::external iliac}} artery and vein. It is {{c3::unsafe}} zone for screw placement.&nbsp;	"<img src=""paste-46f6e4745ae69792a1be3dc667091b850963cf2c.jpg"">"										OB::Recon::HipAnatomy
"<div style=""display: inline !important;"">The {{c1::iliofemoral}} ligament&nbsp;(<b>Y ligament of Bigelow) </b>is the&nbsp;</div>strongest ligament of the hip and runs from the {{c2::AIIS}} to {{c2::intertrochanteric}} line and prevents anterior dislocation / hyperextension"	"<img src=""paste-ca5ee84ecb8706445c4aa665252d164349218c0d.jpg"">"										OB::Recon::HipAnatomy
"The {{c1::Ischiofemoral}} ligament<b>&nbsp;</b>attaches to the posterior surface of the acetabular rim and labrum and courses circumferentially around the joint to its insertion on the anterior aspect of the femur<font color=""#202124"">&nbsp;and<b> provides posterior support of the hip</b></font>"	"<img src=""paste-043ffe1349e2aaee998bd43b544c01d10ce38bd3.jpg"">"										OB::Recon::HipAnatomy
The three main ligaments of the hip are the {{c1::iliofemoral}}, {{c1::ischiofemoral}}, and {{c1::pubofemoral}} ligaments	"<img src=""paste-b4a198c86f7aad4e98c2af0f4afb9a5feec6f50a.jpg"">"										OB::Recon::HipAnatomy
The {{c1::sciatic nerve (peroneal division)}} is the most commonly injured neural structure during a THA	"innervates short head of the biceps;&nbsp;<span style=""color: rgb(33, 33, 33);"">Sciatic nerve palsy is the most commonly encountered nerve injury associated with THA, accounting for over 90% of all reported nerve injuries.</span><sup><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5884042/#bib0010"">2</a></sup><span style=""color: rgb(33, 33, 33);"">&nbsp;The sciatic nerve exits the pelvis via the greater sciatic notch, anterior to the piriformis muscle, and then branches into its common peroneal and tibial divisions.&nbsp;</span>"										OB::Recon::HipAnatomy
"<span style=""color: rgb(51, 51, 51);"">In a majority of hips, the main blood supply of the femoral head is from the&nbsp;</span>{{c1::medial femoral circumflex artery (MFCA)}} which is a branch of the {{c2::deep femoral artery (profunda femoris)}} which branched from the {{c2::femoral artery off of the external iliac artery::2}}"	"<img src=""paste-a0877f68ddfc9945696681c50159ddf1fd1fe02f.jpg"">"										OB::Recon::HipAnatomy
Outside of the medial femoral circumflex artery, the {{c1::<b>inferior gluteal artery</b>}} which is a branch of the {{c2::<b>internal iliac artery</b>}} and runs along the border of the {{c3::<b>piriformis</b>}} tendon has been found to be the primary blood supply of the femoral head in up to 17% of patients	"Thus to prevent AVN of the hip, both arteries should be protected during surgery.<br><img src=""paste-87ae0e9a13c17292caed28c0a451672ce2c5ce93.jpg""><br><img src=""paste-2b78392df51b86397de07b0724f62e8a3630cfa2.jpg"">"										OB::Recon::HipAnatomy
In prosthetic design, the concept of {{c1::Femoral rollback}} is the posterior translation of the femur with progressive knee flexion and<b> improves quadricep function</b> and <b>restores range of motion in the knee</b>	"rollback in the native knee is controlled by ACL and PCL<br><img src=""paste-cd14aae12955ff1e90013eb3944204277b961dfb.jpg"">"										OB::Recon::TKAProsthesis
{{c1::PCL retaining (cruciate-retaining)}} and {{c1::PCL substituting/posterior stabilized}} prosthetic designs allow for femoral rollback&nbsp;	"<img src=""paste-cd14aae12955ff1e90013eb3944204277b961dfb.jpg"">"										OB::Recon::TKAProsthesis
In prosthetic design, the concept of {{c1::Constraint}} is&nbsp;the ability of a prosthesis to provide varus-valgus and flexion-extension stability in the face of {{c2::ligamentous laxity}} or bone loss											OB::Recon::TKAProsthesis
In the setting of <b>ligamentous laxity </b>or <b>severe bone loss</b>, standard {{c1::cruciate-retaining (PCL-retaining)}} or {{c1::posterior-stabilized (PCL-substituting)}} implants may not provide stability											OB::Recon::TKAProsthesis
"{{c2::Cruciate-retaining aka PCL-retaining}} design is a&nbsp;minimally constrained prosthesis that depends on an intact {{c1::PCL}}<span style=""color: rgb(83, 114, 166);"">&nbsp;</span>to provide stability in flexion"	"<img src=""paste-3a457d5e4eae81ec72ecdd3436775520ee9ba309.jpg"">"										OB::Recon::TKAProsthesis
<b>Advantages of&nbsp;</b>{{c2::cruciate-retaining}}<b>&nbsp;prosthetic design</b> is avoidance of {{c1::tibial post-femoral cam}} impingment, more closely resembles normal knee movement, and less distal femur needs to be cut	"<img src=""paste-893f15223523330652a98dfc5e209f972ea3aaf2.jpg"">"										OB::Recon::TKAProsthesis
<b>Disadvantages </b>of {{c1::cruciate-retaining}}&nbsp;prosthetic design is <b>accelerated polyethelene wear </b>due to <b>tight PCL</b> and also may cause<b> loose or ruptured PCL</b> leading to flexion instability and subluxation											OB::Recon::TKAProsthesis
"<div style=""display: inline !important;"">In order of least constrained to most constrained Knee implabts</div><div><ul><li><div>{{c1::cruciate-retaining}}</div></li></ul><ul><li><div>{{c1::posterior-stabilized (cruciate-substituting)}}</div></li></ul><ul><li><div>{{c1::varus-valgus constrained (non-hinged CCK (contrained condylar knee))}}</div></li></ul><ul><li><div>{{c1::rotating-hinge}}</div></li></ul></div>"	least to most able to provide varus/valgus and flexion/extension in setting of bone loss and ligamental laxity!										OB::Recon::TKAProsthesis
{{c1::Posterior stabilized aka PCL-substituting}} design is a more constrained prosthesis that requires <b>resection of PCL </b>and has a femoral cam component that engages with tibial polyethelyne post during flexion&nbsp;	"<img src=""paste-b245dbe4fe69e5e8ed9616a9d16ab152158db0d3.jpg"">&nbsp;<img src=""paste-7493204aca3e99e73bab956e9a6fd41aff840a69.jpg"">"										OB::Recon::TKAProsthesis
<b>Advantages </b>of {{c1::posterior stabilized design}} is <b>easier to balance a knee</b> with absent PCL,<b> more range of motion,</b> and easier surgical exposure											OB::Recon::TKAProsthesis
"One disadvantages of <b>posterior stabilized design</b> is {{c1::""cam jump""}} which can occur due to&nbsp;<b>loose flexion gap</b> or <b>hyperextension </b>where the cam rotates over the post and dislocates. Can be treated with closed reduction anterior drawer initially and then revision procedure to address loose flexion gap.&nbsp;"	"<img src=""paste-985a95afd6c990f9ad0a2627580dc3cdb016857f.jpg"">"										OB::Recon::TKAProsthesis
"One <b>disadvantage </b>of {{c3::posterior stabilized}}<b><u>&nbsp;design</u></b> is {{c2::patellar ""clunk"" syndrome}} which is a&nbsp;<span style=""color: rgb(35, 35, 35);"">painful, palpable ""clunk"" at the patellofemoral articulation </span><span style=""color: rgb(35, 35, 35);"">caused by a fibrous nodule of&nbsp;</span>{{c1::scar tissue}}<span style=""color: rgb(35, 35, 35);"">&nbsp;at the posterior surface of the <b>distal quadriceps tendon/superior patellar pole</b> catching on the <b>box of the femoral component</b> during knee extension</span>"	"treatment is with arthroscopic versus open resection of scar tissue<br><img src=""paste-a4a6e3ecb7ab9e3be33f088c53204aad5afb8225.jpg"">"										OB::Recon::TKAProsthesis
{{c1::Constrained nonhinged design (CCK)}} is a prosthesis used in patients with <b>LCL or MCL attenuation or deficiency</b> and has a large tibial post and deep femoral box to provide <b>high varus/valgus stability and rotation stability&nbsp;</b>	"constrained condylar knee<br><img src=""paste-447819436b9accc275669dab92782dc780b44d22.jpg""><img src=""paste-e8cee27000f40627f940bb779ac115494b105637.jpg"">"										OB::Recon::TKAProsthesis
<b>Highly constained prosthetics</b> such as constrained hinged and nonhinged designs are at increased risk for {{c1::aseptic loosening}} due to the large amount of resected bone and as a result of the increased constraint	cementing prosthetics can help it stay in place										OB::Recon::TKAProsthesis
The most constrained knee prosthesis is the {{c1::constrained hinged design}} with a linked femoral and tibial components typically used for patients with<b> massive bone loss or global ligamental deficiency&nbsp;</b>	"<img src=""paste-cd0c25664a9659a232a5351eb76e7217915d045a.jpg""><img src=""paste-cf6079327f98de151dd89daf5144131d0738ca8d.jpg"">"										OB::Recon::TKAProsthesis
A {{c1::mobile bearing design}} is a prosthetic that is <b>minimally constrained</b> allowing for polyethylene to rotate freely on the tibial baseplate indicated in<b> young, active patients&nbsp;</b>	"PCL is still removed<br><img src=""paste-a3efce858dfcb978c2ad7dd2af80f5d5c1e3ba3d.jpg"">"										OB::Recon::TKAProsthesis
While the main blood supply of the <b><u>femoral head</u></b> is the <b>medial femoral circumflex artery</b>&nbsp;about 10-15% is derived from the artery to the {{c1::ligamentum teres}} which branches from the {{c1::obturatory artery}}	"may sometimes also be branch of MFCA<br><img src=""paste-463c4f3df3b79cda4e80571620c705a70361bf3d.jpg"">"										OB::Trauma::FemHeadFractures
{{c2::Pipken}} classification is used to characterize femoral {{c1::head}} fractures	"<img src=""paste-59f11802207ab5878bd595fbcb4cab4f7764a870.jpg"">"										OB::Trauma::FemHeadFractures
<b>Pipkin classification</b> type {{c1::I}} is described as a fracture {{c2::below}} the <b>fovea/ligamentum </b>and {{c3::does NOT}} involve the weight bearing portion of femoral head	"TREATMENT:&nbsp;<strong><span style=""color: rgb(83, 114, 166);"">TDWB (toe down weight bearing) x 4-6 weeks, restrict adduction and internal rotation</span></strong><br><img src=""paste-77ee166afb77e50698e9e4cceccc609cb548077d.jpg""><img src=""paste-bcb1bd5b39d805d29a9c9b36b9af15be234e2245.jpg"">"										OB::Trauma::FemHeadFractures
Pipkin classification type {{c1::II}} is decribed as a fracture {{c2::above}} the <b>fovea/ligamentum </b>and {{c3::DOES}} involve the weight bearing portion of femoral head	"Treatment if nondisplaced Pipkin II with &lt; 1 mm step off:&nbsp;<strong><span style=""color: rgb(83, 114, 166);"">TDWB (toe down weight bearing) x 4-6 weeks, restrict adduction and internal rotation<br></span></strong>&gt;1 mm step off = ORIF<br><img src=""paste-77ee166afb77e50698e9e4cceccc609cb548077d.jpg""><img src=""paste-2e5b49951586c6486eec29d53c8ee798a8cfd9ef.jpg"">"										OB::Trauma::FemHeadFractures
<b>Pipkin classification</b>&nbsp;type {{c1::III}} is described as a type I or II with an associated femoral {{c2::neck}} fracture and has a high incidence of AVN	"<img src=""paste-77ee166afb77e50698e9e4cceccc609cb548077d.jpg"">"										OB::Trauma::FemHeadFractures
<b>Pipkin classification</b>&nbsp;type {{c1::IV}} is described as a type I or II with an associated {{c2::acetabular}} fracture&nbsp;	"<img src=""paste-77ee166afb77e50698e9e4cceccc609cb548077d.jpg""><img src=""paste-bf1cf2a0dc57bc63e1382ed6dd273276af310e7e.jpg"">"										OB::Trauma::FemHeadFractures
Standard xray views for <b>femoral head fractures is AP pelvis</b> but an {{c1::<b>oblique (judet) view</b>}} should be ordered if there is an<b>&nbsp;</b>{{c2::<b>acetabular</b>}}&nbsp;<b>fracture </b>a {{c3::<b>inlet and outlet views</b>}} if there is {{c2::<b>pelvic ring</b>}} injury	"<img src=""paste-6d46a6cbe9bd99526a39ad36a350b1d3e5d18b61.jpg""><img src=""paste-b53db7926de3767a7484e9d819837534aedce905.jpg"">"										OB::Trauma::FemHeadFractures
While <b>plain AP radiographs </b>are ordered both <b>pre and post reduction</b> of a <b>femoral head fracture</b>, a {{c1::CT scan}} should be ordered <b><u>post-reduction</u></b> to <b>evaluate for loose bodies and presence/size of fracture fragments</b>	"<img src=""paste-7c662beb557904a49d02f66c4bc69c03df6777b3.jpg"">"										OB::Trauma::FemHeadFractures
Best treatment for <b>femoral head </b>fracture <b>Pipkin I</b> or <b>nondisplaced Pipkin II with &lt;1 mm step off</b> is {{c1::touchdown weight bearing for 4-6 weeks (restrict adduction and internal rotation)}} with serial radiographs to document maintained reduction	"<img src=""paste-edbe7026a0ba74060d8a3a4e501da7a3bcba2ac8.jpg"">"										OB::Trauma::FemHeadFractures
Best treatment for <b>femoral head </b>fracture with <b>Pipkin II &gt;1mm step off, Pipkin III or IV </b>is {{c1::ORIF}} which can be done using an <b>anterior (Smith-Peterson) approach </b>or<b> anterolateral (Watson-Jones) approach</b>	"<img src=""paste-cb7531f69564798874afead813976a423373e738.jpg""><div><img src=""paste-174405164c68e9c96d4fecb6a8b2ef0cfb290411.jpg""><br></div>"										OB::Trauma::FemHeadFractures
When reducing and fixating a fracture, {{c1::countersinking}} near the cortex creates a platform that allows for the <b>screw to maximize contact to the bone</b> and <b><u>decreases </u></b>{{c2::stress}} as there is a<b> greater area </b>of contact	"stress = force/area<br><img src=""paste-883637d69d181be95cd4ab3b9287f5d9f8550161.jpg""><img src=""paste-665814917a281115830f419231a3ed165922ae00.jpg"">"										OB::Trauma::FemHeadFractures
"<u style="""">Pauwel's classification</u> in patients with femoral neck fracture is based on vertical orientation of the fracture line.&nbsp;<br><b>Type I</b> is &lt;{{c1::30<sup>o</sup>}}&nbsp;from horizontal&nbsp;<br><b>Type II</b> is {{c1::30<sup>o</sup>}}-{{c1::50<sup>o</sup>}} from horizontal<br><b>Type III&nbsp;</b>&gt;{{c1::50<sup>o</sup>}} from horizontal (High risk of AVN; unstable)"	"<img src=""paste-17bcd5dfc8499cb06792f560abfbcaa1f1f6cb56.jpg"">"										OB::Trauma::FemNeckFractures
<div><b>Femoral Neck Fractures</b>&nbsp;can be classified based on location:<br>–{{c1::subcapital}}<strong>:</strong>&nbsp;upper third of the femoral neck below the femoral head</div><div>–{{c1::transcervical}}<strong>:</strong>&nbsp;middle of the femoral neck</div><div>–{{c1::basicervical}}: base of femoral neck, <b><u>above </u></b>the {{c2::greater}} and {{c2::lesser}} trochanter</div><div>–{{c1::intertrochanteric}}: occurs <b><u>between </u></b>the {{c2::greater}} and {{c2::lesser}} trochanter</div><div>–{{c1::subtrochanteric}}: below the {{c3::lesser}} trochanter, extending {{c3::5}} cm down (below is considered a <b>femoral shaft fracture</b>)</div>	"<img src=""paste-4c9a2f2f4bfc6e008a7a4c2f3372e173c3bde597.jpg""><img src=""paste-2a9439dfeb3318d6eb1dd469e03a1c1253265851.jpg"">"										OB::Trauma::FemNeckFractures
{{c2::Subcapital}}, {{c2::transcervical}}, and {{c2::basicervical}} <b>femoral neck fractures </b>follow the same treatment algorithm. They can further be classified as {{c1::displaced}} and {{c1::nondisplaced}}.&nbsp;	"Displaced fractures are treated with hemiarthroplasty or total arthroplasty. Nondisplaced fractures are treated with percutaneous pinning<br><img src=""paste-f37fdfac43c5edc2aafb85e6b524faf6254895e5.jpg"">"										OB::Trauma::FemNeckFractures
<b>Management </b>of femoral neck fractures (subcapital, transcervical, or basicervical) in patients &gt;50:&nbsp;<br><b>Displaced </b>fractures are treated with {{c1::hemiarthroplasty or total arthroplasty.}} <b><br>Nondisplaced </b>fractures are treated with {{c1::percutaneous pinning (cannulated cancellous screws or sliding hip screw)}}	"<img src=""paste-bbeae8b6939aad789400fe3ad44c2e427e4e1b6a.jpg""><br><img src=""paste-a2ccb8bc89231840dbb921d1557c986cbe3eb1fb.jpg"">"										OB::Trauma::FemNeckFractures
<b><u>Intertrochanteric</u></b> hip fractures are managed based on their inherent stability:<br><div><strong><em>Stable</em></strong>&nbsp;fractures are treated with either {{c1::<b>short or long intramedullary nails</b>}} or {{c1::<b>sliding hip screws</b>}}</div><div><strong><em>Unstable</em></strong>&nbsp;fractures are treated with {{c2::<b>intramedullary nails</b> (<strong>cephalomedullary nail</strong>}}</div>	"<div>AAOS recommends either SHS or CMN for stable fractures; equal outcomes<br>Long vs Short is controversial for CMN<br><img src=""paste-786e09bf26692fbdf45a02722b2e2e72511053fa.jpg""><br>If any one factor is met, the intertrochanteric fracture is unstable, and surgical management changes accordingly.&nbsp;</div><div>4 factors that dictate stability are:</div><ol><li>reverse obliquity: the fracture line is perpendicular to the line drawn from the greater to the lesser trochanter</li><li>Lateral cortex involvement</li><li>Calcar comminution: The calcar is an area of thickened bone that is located deep to the lesser trochanter on the posteromedial aspect of the femoral shaft. This area aids in load distribution and provides mechanical support to the proximal femur.</li><li>Subtrochanteric extension</li></ol><img src=""paste-799fbe3dc0477dd1a853e5f0eaac22b4c1e3616d.jpg""><img src=""paste-ede8fd99bc2302f01925b362a9b21c0a5ec5bbc3.jpg""><img src=""paste-873d0bf09a6dd82808305f078eb53bf526739260.jpg""><br>"										OB::Trauma::FemNeckFractures
<b>Intertrocanteric fractures </b>are based on the following 4 factors that dictate stability:<br><ol><li>{{c4::<b>reverse obliquity</b>}}: the fracture line is {{c4::<b>perpendicular</b>}} to the line drawn from the greater to<b> </b>the lesser trochanter</li><li>{{c3::<b>Lateral cortex</b>}} involvement</li><li><b>Calcar comminution</b>: The calcar is an area of thickened bone that is located deep to the lesser trochanter on the {{c1::posteromedial}} aspect of the femoral shaft. This area aids in load distribution and provides mechanical support to the proximal femur.</li><li>{{c2::<b>Subtrochanteric extension</b>}}</li></ol>	"If any one factor is met, the intertrochanteric fracture is <b><u>unstable</u></b>, and surgical management is long intramedullary nail (cephalomedullary nail)<br><img src=""paste-74e55fb094cf0ceb68e352901c4f17baf8149bcf.jpg""><br><img src=""paste-cbb4b2c5ad0ba0a82409e4158f7859ea52ef9a7e.jpg"">"										OB::Trauma::FemNeckFractures
<b>Subtrochanteric fractures</b>, which again extend anywhere up to 5cm <b><u>below </u></b>the {{c1::lesser trochanter}}, are also treated with {{c1::long intramedullary nails (cephalomedullary nail)}}	"<img src=""paste-9331745b608f529a818a0afea847c1ca1eff4d3c.jpg"">"										OB::Trauma::FemNeckFractures
"Diagnosis of rotator cuff tears can be suspected clinically with&nbsp;<span style=""color: rgb(35, 35, 35);"">provocative tests of the supraspinatous, infraspinatous, teres minor and subscapularis, but confirmation requires an&nbsp;</span>{{c1::MRI}}&nbsp;<span style=""color: rgb(35, 35, 35);"">of the shoulder.&nbsp;</span>"											OB::Shoulder/Elbow::RotatorCuffTears
Mechanisms for <b>rotator cuff tears</b> typically include {{c2::<b>chronic degenerative</b> <b>tears</b>}}<b>&nbsp;</b>typically seen in older patients, {{c1::chronic impingement}} starting on the<b> bursal surface or within the tendon</b>, {{c3::acute avulsion injuries}} such as in young athletes or due to falls, or<b> iatrogenic injuries </b>due to failure of surgical repair											OB::Shoulder/Elbow::RotatorCuffTears
"The rotator cuff has <b>5 histologic layers</b> begining with <b>layer I being the most superficial </b>and composed&nbsp;<span style=""color: rgb(35, 35, 35);"">fibers from the&nbsp;</span>{{c1::coracohumeral ligament}}&nbsp;<span style=""color: rgb(35, 35, 35);"">going deeper until <b>layer V </b>which is the shoulder capsule</span>"	"<img src=""paste-27bdf2bcabf70821311b3b561813aad848408580.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
"{{c1::Articular}}<span style=""color: rgb(32, 33, 36);"">-sided tears are much more common than&nbsp;</span>{{c1::bursal}}<span style=""color: rgb(32, 33, 36);"">-sided tears.&nbsp;</span><b>They occur more often in young people, and are thought to be related to trauma</b><span style=""color: rgb(32, 33, 36);"">&nbsp;while&nbsp;</span>{{c1::bursal}}<span style=""color: rgb(32, 33, 36);"">-sided tears appear to be <b>related to aging </b>rather than extrinsic impingement.</span>"	"according to orthobullets articular side of the rotator cuff has only half the stength of the bursal side and this is why most tears are articular sided<br><img src=""paste-67cbe426b1746b8e94e4425f290ce8586c8f298b.jpg""><br><img src=""paste-c62d1d2458d37dce4cf20680f4af1ae0a2cfa31c.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
"Rotator cuff blood supply comes&nbsp;<div style=""display: inline !important;"">from {{c2::subscapular}}, {{c2::suprascapular}} and {{c2::humeral circumflex}}<b>&nbsp;arteries </b>that&nbsp;</div>branch within layer {{c1::II}} and layer {{c1::III}} which is why the bursal side is <b><u>more vascular</u></b> than the articular side"											OB::Shoulder/Elbow::RotatorCuffTears
The {{c1::rotator interval}} is a <b>gap </b>between the {{c2::supraspinatus}} and {{c2::subscapularus}} that includes the<b>&nbsp;</b>{{c3::long}}&nbsp;<b>head of the biceps,&nbsp;</b>{{c3::superior glenohumeral}}&nbsp;<b>ligament (SGHL) </b>and {{c3::coracohumeral}}&nbsp;<b>ligament</b>	"<img src=""paste-65d5aab04d2b622cc0f9d414e0d04bc4134457fa.jpg""><img src=""paste-dffed62e7e5b89699384000539c0a7fb14dc39c7.jpg""><img src=""paste-7ddfd0d6b9203829d7d189edf4df3d415809a983.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
The {{c1::rotator crescent}} is a&nbsp;<b>thin</b>,&nbsp;<b>crescent</b>-<b>shaped&nbsp;sheet </b>of rotator cuff comprising the&nbsp;<b>distal portions&nbsp;</b>of the {{c2::supraspinatus}} and {{c2::infraspinatus}} insertions.	"<img src=""paste-54660935fc429233c4c70e7788702fe33e3ed4e8.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
"The {{c1::rotator cable}} is a&nbsp;<span style=""color: rgb(35, 35, 35);""><b>thick bundle of fibers </b>found at the avascular zone of the&nbsp;</span>{{c2::coracohumeral}}<span style=""color: rgb(35, 35, 35);"">&nbsp;ligament <b>running perpendicular </b>to the supraspinatous fibers and spanning the insertions of the supra- and infraspinatus tendons.</span>"	"<span style=""color: rgb(32, 33, 36);"">The rotator cable is&nbsp;</span><b>an extension of the coracohumeral ligament coursing along the undersurface of the supraspinatus and&nbsp;infraspinatus&nbsp;tendons</b><span style=""color: rgb(32, 33, 36);"">. The rotator cable is thought to play a role in the biomechanical function of the intact and torn rotator cuff.</span><br><img src=""paste-f682d34c901168a28dbe7b32073d383ffdb2860e.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b>Rotator cuff tears</b> are classified based on size: small ({{c1::0}}-{{c1::1}} cm), medium ({{c1::1}}-{{c1::3}} cm), large ({{c1::3}}-{{c1::5}} cm) and massive (&gt;{{c1::5}} cm involving 2 or more tendons)	"<img src=""paste-09ae5e23c710e5ae36f83068c9e94e637410bcd5.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
The {{c1::Ellman}} classification is used for <b><u>partial thickness </u></b>rotator cuff tears:&nbsp;<br>Grade I: &lt;{{c2::3}}mm (&lt;{{c2::25}}% thickness)<br>Grade 2: {{c3::3}}-{{c3::6}} mm ({{c3::25}}-{{c3::50}}% thickness)<br>Grade 3: &gt; {{c4::6}} mm (&gt;{{c4::50}}% thickness)	"Location is A (Articular side), B (Bursal Side), C (Intratendinous)&nbsp;<br><img src=""paste-eab15d2d51e3f5b09805abb53926723f18d5261c.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b>Rotator cuff tears</b> may be {{c1::crescent}} which usually<b> do not retract medially, </b>are quite mobile in the medial to lateral direction, and<b> can be repaired directly to bone with minimal tension.</b>	"<img src=""paste-0972750916abf91c16f46ac7804c07e930d6f7da.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b>Rotator cuff tears</b>&nbsp;may be {{c1::U-shape}} which is similar shape to crescent but extends further medially and must be <b>repaired&nbsp;</b>{{c2::side-to-side}}<b>&nbsp;using margin convergence first</b> to avoid overwhelming tensile stress in the middle of the rotator cuff repair margin.	"<img src=""paste-66d312d8c6819814d91baebf443beb9a646d9d4c.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
"<b>Rotator cuff tears</b> may be {{c1::L-Shape}} which is similar to&nbsp;<span style=""color: rgb(35, 35, 35);"">U-shape except one of the leaves is more mobile than the other. Use&nbsp;</span>{{c2::margin convergence (side to side)}}<span style=""color: rgb(35, 35, 35);"">&nbsp;in repair.</span>"	"<img src=""paste-a502a152174b5e4d1949e5dc71da6bab4afc5134.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b><u>Massive and immobile</u></b> rotator cuff tears may require an {{c1::interval slide}} which is performed by<b> incising the interval between the supraspinatus tendon and the rotator interval</b> to increase mobility and allow repair of the tendon to the lateral bone bed	"<img src=""paste-599d2966663fcefe7af1afeab17ef267793995df.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b>Infraspinatus </b>injury can be tested using {{c1::external rotation lag sign}} where the patient sits with back to examiner who holds patient arm <b>passively in external rotation</b> and asked to hold this position	"Positive sign is when lag or drop occurs, like drop arm test for supraspinatus<br><img src=""paste-fa296b23506d6f0020bc18b2dda6490f87efa6e2.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
